Name,Prospect,School,HT,WT,Arm Length,Hand Size,40 Yard Dash,10-Yd Split,Bench,3-cone,Vert,Broad,Rec,Yds,Avg,TD,YP
Jordan Addison,1,USC,511,173,30.88,8.75,4.49,1.56,,,34,122,219,3134,14.3,29,3
Ronnie Bell,1,Michigan,600,191,31,9.5,4.54,1.52,14,6.98,38.5,120,145,2269,15.6,9,5
Jake Bobo,1,UCLA,604,206,32.25,10,,,,,,,183,2258,12.3,10,5
Kayshon Boutte,1,LSU,511,195,31.38,9.5,4.5,1.58,,,29,118,131,1782,13.6,16,3
Jalen Brooks,1,South Carolina,601,201,34.13,9.5,4.69,1.56,,7.15,35,130,58,785,13.5,2,3
Jason Brownlee,1,Southern Mississippi,602,198,33.75,9.75,4.59,1.52,16,,39.5,131,135,2144,15.9,0,3
Jacob Copeland,1,Maryland,511,201,31.63,8.63,4.42,1.51,20,7.01,33,128,112,1742,15.6,11,5
Derius Davis,1,TCU,508,165,29.25,8,4.36,1.46,,,,,112,1513,13.5,9,5
Nathaniel Dell,1,Houston,508,165,30.5,8.63,4.49,1.49,,,,121,228,3155,13.8,32,3
Dontay Demus Jr.,1,Maryland,603,212,34.25,9.75,4.57,1.55,,,35.5,123,128,2008,15.7,14,5
Demario Douglas,1,Liberty,508,179,30.25,8.75,4.44,1.54,,,39.5,134,172,2193,12.8,16,4
Josh Downs,1,North Carolina,509,171,30.38,9.25,4.48,1.49,,,38.5,131,202,2483,12.3,22,3
Grant DuBose,1,Charlotte,602,201,31.88,9.5,4.57,1.52,,6.89,35,125,126,1684,13.4,15,2
Zay Flowers,1,Boston College,509,182,29.25,9.25,4.42,1.53,,,35.5,127,200,3056,15.3,29,4
Bryce Ford-Wheaton,1,West Virginia,604,221,33.5,9.38,4.38,1.54,,6.97,41,129,143,1867,13.1,15,4
Antoine Green,1,North Carolina,602,199,32.13,9,4.47,1.54,,6.99,33.5,123,90,1710,19,15,5
Jadon Haselwood,1,Arkansas,602,215,31.25,10,4.66,1.56,,6.98,37,123,121,1438,11.9,10,4
Malik Heath,1,Mississippi,602,213,32.5,9.13,4.64,1.53,,6.96,34,124,131,1720,13.1,13,3
Elijah Higgins,1,Stanford,603,235,31.75,10.5,4.54,1.56,,7.01,35,126,119,1380,11.6,6,4
Xavier Hutchinson,1,Iowa State,602,203,31.38,9.38,4.53,1.55,,6.91,36,116,254,2929,11.5,15,3
Jalin Hyatt,1,Tennessee,600,176,32.5,9,4.4,1.5,,,40,126,108,1769,16.4,19,3
Andrei Iosivas,1,Princeton,603,205,32,8.75,4.43,1.52,19,6.85,39,128,,,,,
Kearis Jackson,1,Georgia,511,196,31.25,9.38,4.55,1.52,,,,126,78,1107,14.2,4,5
Rakim Jarrett,1,Maryland,600,192,31.38,9.38,4.44,1.51,13,,35.5,123,119,1552,13,10,3
Michael Jefferson,1,Louisiana,604,199,32.5,9.63,4.56,1.52,16,7.03,37,124,69,1291,18.7,11,2
Jaray Jenkins,1,LSU,602,204,31.75,10,4.6,1.56,20,,,,89,1370,15.4,14,4
CJ Johnson,1,East Carolina,602,224,32,10.25,,,,,,,175,2849,16.3,21,4
Quentin Johnston,1,TCU,603,208,33.63,9.63,,,,,40.5,125,115,2190,19,14,3
Charlie Jones,1,Purdue,511,175,31.63,9,4.43,1.51,13,,36.5,124,149,2079,14,128,4
Malik Knowles,1,Kansas State,602,196,32.25,8.75,,,,,,,127,1867,14.7,14,5
Matt Landers,1,Arkansas,604,200,32.5,9.25,4.37,1.51,,,37,130,79,1547,19.6,14,4
Marvin Mims,1,Oklahoma,511,183,31.63,9,4.38,1.55,,6.9,39.5,129,123,2398,19.5,20,3
Jonathan Mingo,1,Mississippi,602,220,32.13,10.38,4.46,1.54,22,,39.5,129,112,1758,15.7,12,4
Jalen Moreno-Cropper,1,Fresno State,511,172,30.13,8.88,4.4,1.55,,,,121,,,,,
Puka Nacua,1,BYU,602,201,31.5,9.5,,,,,,,107,1749,16.3,14,4
Joseph Ngata,1,Clemson,603,217,33.13,10.25,4.54,1.59,,,34.5,124,88,1287,14.6,6,4
Trey Palmer,1,Nebraska,600,192,31.88,9.63,4.33,1.51,,,,,112,1501,13.4,12,4
A.T. Perry,1,Wake Forest,604,198,33.25,9.25,4.47,1.59,,,35,130,171,2662,15.6,28,4
Jayden Reed,1,Michigan State,511,187,30.5,9.13,4.45,1.57,,,33.5,121,203,2866,14.1,26,4
Rashee Rice,1,SMU,601,204,32.75,9.5,4.51,1.49,,,41,128,233,3111,13.4,25,4
Tyler Scott,1,Cincinnati,610,177,30.88,9,4.44,1.51,,,39.5,133,87,1439,16.5,14,3
