id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock.minutes,clock.seconds,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock
401403853101904601,Vanderbilt,SEC,Hawai'i,Mountain West,Hawai'i,Vanderbilt,0,7,401403853,4014038532,2,5,1,9,53,3,3,65,65,4,3,false,0,Punt,Matt Hayball punt for 65 yds for a touchback,,2022-08-28T02:39:44.000Z
401403853101914601,Hawai'i,Mountain West,Vanderbilt,SEC,Hawai'i,Vanderbilt,7,0,401403853,4014038533,3,4,1,8,53,3,3,29,71,4,1,false,0,Punt,Matthew Shipley punt for 32 yds,,2022-08-28T02:39:44.000Z
401403853101958101,Hawai'i,Mountain West,Vanderbilt,SEC,Hawai'i,Vanderbilt,7,0,401403853,4014038535,5,7,1,4,18,2,3,55,45,4,13,false,0,Punt,"Matthew Shipley punt for 35 yds, punt out-of-bounds at the Vandy 10",,2022-08-28T02:39:44.000Z
401403853102967001,Hawai'i,Mountain West,Vanderbilt,SEC,Hawai'i,Vanderbilt,10,21,401403853,40140385310,10,7,2,3,29,1,3,34,66,4,19,false,1,Punt,"Matthew Shipley punt for 43 yds , Will Sheppard returns for 1 yd to the Vandy 24",,2022-08-28T03:28:53.000Z
401403853103947401,Hawai'i,Mountain West,Vanderbilt,SEC,Hawai'i,Vanderbilt,10,49,401403853,40140385319,19,5,3,5,25,3,3,25,75,4,10,false,0,Punt,Matthew Shipley punt for 36 yds,,2022-08-27T04:31:42.000Z
401403853103999401,Hawai'i,Mountain West,Vanderbilt,SEC,Hawai'i,Vanderbilt,10,56,401403853,40140385321,21,5,3,0,5,2,3,5,95,4,8,false,0,Punt,"Matthew Shipley punt for 31 yds, punt out-of-bounds at the Hawa 36",,2022-08-27T04:31:42.000Z
401403853104865001,Hawai'i,Mountain West,Vanderbilt,SEC,Hawai'i,Vanderbilt,10,56,401403853,40140385323,23,4,4,13,49,2,3,22,78,4,19,false,0,Punt,"Matthew Shipley punt for 43 yds, punt out-of-bounds at the Vandy 35",,2022-08-27T05:35:51.000Z
401403854101875101,Utah State,Mountain West,Alabama,SEC,Alabama,Utah State,0,0,401403854,4014038541,1,6,1,12,48,3,3,50,50,4,8,false,0,Punt,"Stephen Kotsanlee punt for 21 yds, punt out-of-bounds at the Alab 29",,2022-09-03T23:43:16.000Z
401403854101914201,Utah State,Mountain West,Alabama,SEC,Alabama,Utah State,0,3,401403854,4014038543,3,5,1,8,57,3,3,74,74,4,9,false,9,Punt,"Stephen Kotsanlee punt for 43 yds , Kool-Aid McKinstry returns for 9 yds to the Alab 40",,2022-09-03T23:54:36.000Z
401403854101985301,Utah State,Mountain West,Alabama,SEC,Alabama,Utah State,0,17,401403854,4014038547,7,5,1,1,46,3,3,69,69,4,4,false,0,Punt,"Stephen Kotsanlee punt for 51 yds, punt out-of-bounds at the Alab 18",,2022-09-04T00:15:01.000Z
401403854102889001,Utah State,Mountain West,Alabama,SEC,Alabama,Utah State,0,24,401403854,4014038549,9,5,2,11,9,3,3,75,75,4,10,false,0,Punt,"Stephen Kotsanlee punt for 52 yds, fair catch by Kool-Aid McKinstry at the Alab 23",,2022-09-04T00:33:26.000Z
401403854102925901,Utah State,Mountain West,Alabama,SEC,Alabama,Utah State,0,31,401403854,40140385411,11,9,2,7,40,2,2,58,58,4,3,false,0,Punt,"Stephen Kotsanlee punt for 24 yds, punt out-of-bounds at the Alab 34",,2022-09-04T00:50:52.000Z
401403854102989401,Utah State,Mountain West,Alabama,SEC,Alabama,Utah State,0,34,401403854,40140385413,13,7,2,1,5,2,1,80,80,4,15,false,9,Punt,"Stephen Kotsanlee punt for 51 yds , Kool-Aid McKinstry returns for 9 yds to the Alab 38",,2022-09-04T01:08:49.000Z
401403854103878701,Utah State,Mountain West,Alabama,SEC,Alabama,Utah State,0,48,401403854,40140385417,17,6,3,12,12,2,3,76,76,4,11,false,0,Punt,"Stephen Kotsanlee punt for 20 yds, punt out-of-bounds at the UthSt 44",,2022-09-04T01:50:28.000Z
401403854103915101,Utah State,Mountain West,Alabama,SEC,Alabama,Utah State,0,55,401403854,40140385419,19,6,3,8,48,2,3,75,75,4,10,false,2,Punt,"Stephen Kotsanlee punt for 60 yds , Kool-Aid McKinstry returns for 2 yds to the Alab 17",,2022-09-04T02:01:16.000Z
401403854103969001,Utah State,Mountain West,Alabama,SEC,Alabama,Utah State,0,55,401403854,40140385421,21,7,3,3,9,2,3,43,43,4,1,false,0,Punt,"Stephen Kotsanlee punt for 35 yds, downed at the Alab 8",,2022-09-04T02:11:31.000Z
401403854103989701,Alabama,SEC,Utah State,Mountain West,Alabama,Utah State,55,0,401403854,40140385422,22,5,3,1,2,3,2,17,83,4,1,false,61,Punt,"James Burnip punt for 51 yds, fair catch by Cooper Jones at the ALABAMA 32 UTAH ST Penalty, Offensive Holding (10 Yards) to the UthSt 22",,2022-09-04T02:17:47.000Z
401403854104907401,Utah State,Mountain West,Alabama,SEC,Alabama,Utah State,0,55,401403854,40140385423,23,15,4,9,25,2,3,39,39,4,15,false,0,Punt,"Stephen Kotsanlee punt for 26 yds, fair catch by Kool-Aid McKinstry at the Alab 13",,2022-09-04T02:31:24.000Z
401403855101868701,Arkansas,SEC,Cincinnati,American Athletic,Arkansas,Cincinnati,0,0,401403855,4014038551,1,6,1,13,12,3,3,50,50,4,2,false,0,Punt,"Max Fletcher punt for 35 yds, fair catch by Ryan Montgomery at the Cincy 15",,2022-09-03T19:44:15.000Z
401403855101957201,Cincinnati,American Athletic,Arkansas,SEC,Arkansas,Cincinnati,0,7,401403855,4014038554,4,6,1,4,27,3,3,80,80,4,15,false,3,Punt,"Mason Fletcher punt for 54 yds , Bryce Stephens returns for 3 yds to the Ark 29",,2022-09-03T20:05:58.000Z
401403855101974801,Arkansas,SEC,Cincinnati,American Athletic,Arkansas,Cincinnati,7,0,401403855,4014038555,5,5,1,2,51,3,3,24,76,4,15,false,0,Punt,"Max Fletcher punt for 26 yds, punt out-of-bounds at the 50 yard line",,2022-09-03T20:12:22.000Z
401403855102868201,Arkansas,SEC,Cincinnati,American Athletic,Arkansas,Cincinnati,7,0,401403855,4014038557,7,7,2,13,17,3,3,35,65,4,11,false,0,Punt,"Max Fletcher punt for 40 yds, punt out-of-bounds at the Cincy 25",,2022-09-03T20:26:37.000Z
401403855102887601,Cincinnati,American Athletic,Arkansas,SEC,Arkansas,Cincinnati,0,7,401403855,4014038558,8,6,2,11,23,3,3,47,47,4,8,false,0,Punt,"Mason Fletcher punt for 44 yds, downed at the Ark 3",,2022-09-03T20:33:41.000Z
401403855102924701,Arkansas,SEC,Cincinnati,American Athletic,Arkansas,Cincinnati,7,0,401403855,4014038559,9,9,2,7,52,3,3,50,50,4,2,false,7,Punt,"Max Fletcher punt for 37 yds , Tre Tucker returns for 7 yds to the Cincy 20",,2022-09-03T20:43:05.000Z
401403855102937501,Cincinnati,American Athletic,Arkansas,SEC,Arkansas,Cincinnati,0,7,401403855,40140385510,10,4,2,6,24,3,3,83,83,4,13,false,0,Punt,"Mason Fletcher punt for 51 yds, fair catch by Bryce Stephens at the Ark 32",,2022-09-03T20:48:48.000Z
401403855102958701,Arkansas,SEC,Cincinnati,American Athletic,Arkansas,Cincinnati,7,0,401403855,40140385511,11,7,2,4,12,3,3,50,50,4,3,false,0,Punt,Max Fletcher punt for 50 yds for a touchback,,2022-09-03T20:52:06.000Z
401403855104866901,Cincinnati,American Athletic,Arkansas,SEC,Arkansas,Cincinnati,17,24,401403855,40140385521,21,15,4,13,30,2,3,45,45,4,34,false,0,Punt,"Mason Fletcher punt for 36 yds, fair catch by Bryce Stephens at the Ark 9",,2022-09-03T22:41:44.000Z
