Year,player,College,POS_GP,POS,athlete_id,Height (in),Weight (lbs),Arm Length (in),Hand Size (in),40 Yard,10-Yard Split,Vert Leap (in),Broad Jump (in),3Cone,Shuttle,Bench Press
2024,Kris Abrams-Draine,missouri,DB,CB,4429193.0,71.38,179.0,31.0,8.63,4.44,,33.5,115.0,7.15,4.41,
2024,Isaiah Adams,illinois,OL,OG,5084939.0,76.25,315.0,33.88,9.0,5.22,,24.5,102.0,7.77,4.73,22.0
2024,Rasheen Ali,marshall (wv),RB,RB,4690013.0,71.25,206.0,31.25,8.63,,,,,,,
2024,Erick All,iowa,TE,TE,4427834.0,76.38,252.0,33.0,10.13,,,,,,,
2024,Braelon Allen,wisconsin,RB,RB,4685247.0,73.25,235.0,31.25,9.25,,,32.0,117.0,,,26.0
2024,Joe Alt,notre dame,OL,OT,4683487.0,80.63,321.0,34.25,10.0,5.05,,28.0,112.0,7.31,4.51,27.0
2024,Kiran Amegadjie,yale,OL,OT,4883090.0,77.38,323.0,36.13,9.63,,,,,,,21.0
2024,Daijahn Anthony,mississippi,DB,SS,4874448.0,72.0,195.0,32.5,9.0,4.55,,37.0,116.0,6.89,4.19,10.0
2024,Terrion Arnold,alabama,DB,CB,4592837.0,71.75,189.0,31.63,8.88,4.5,,37.0,129.0,,6.69,
2024,Gottlieb Ayedze,maryland,OL,OG,5145719.0,76.13,308.0,33.0,9.88,5.01,,26.5,112.0,7.71,,21.0
2024,Emani Bailey,texas christian,RB,RB,4565761.0,67.38,202.0,29.88,9.75,4.61,,33.5,116.0,7.28,4.5,
2024,Javon Baker,central florida,WR,WR,4692022.0,73.25,202.0,32.25,9.63,4.54,,37.0,121.0,,,
2024,AJ Barner,michigan,TE,TE,4576297.0,78.0,251.0,33.38,9.0,4.86,,34.5,117.0,7.02,4.41,22.0
2024,Karsen Barnhart,michigan,OL,OG,4426638.0,76.5,306.0,33.38,9.88,5.21,,29.5,111.0,7.83,4.7,22.0
2024,Michael Barrett,michigan,LB,ILB,4372062.0,71.38,233.0,32.13,8.5,4.72,,31.0,,,4.55,
2024,Graham Barton,duke,OL,C,4429251.0,77.38,313.0,32.88,9.38,4.97,,,,7.31,4.55,
2024,Cooper Beebe,kansas state,OL,OG,4426663.0,75.25,322.0,31.5,9.25,5.03,,27.5,109.0,7.44,4.61,20.0
2024,Jaheim Bell,florida state,FB,FB,4429262.0,74.0,241.0,33.0,10.0,4.61,,35.0,124.0,,,
2024,Trey Benson,florida state,RB,RB,4429275.0,72.25,216.0,31.5,9.25,4.39,,33.5,122.0,,,23.0
2024,JD Bertrand,notre dame,LB,ILB,4428872.0,72.88,235.0,30.63,9.75,,,,,,,20.0
2024,Tatum Bethune,florida state,LB,ILB,4426698.0,71.5,229.0,32.38,10.0,4.77,,30.5,115.0,7.03,4.35,16.0
2024,Keaton Bills,utah,OL,OG,4426706.0,76.5,321.0,32.5,10.0,5.38,,29.5,101.0,7.95,4.9,24.0
2024,Cole Bishop,utah,DB,FS,4676004.0,74.0,206.0,29.75,9.5,4.45,,39.0,124.0,,,
2024,Austin Booker,kansas,DL,DE,4683553.0,76.5,240.0,33.88,9.25,4.79,,32.5,120.0,7.28,4.47,
