Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,athlete_id
2024,Isaiah Adams,Illinois,OG,76.25,315,9,33.88,NA,5.22,22,24.5,102,4.73,7.77,NA,NA
2024,Kiran Amegadjie,Yale,OT,77.38,323,9.63,36.13,NA,NA,21,NA,NA,NA,NA,NA,NA
2024,Gottlieb Ayedze,Maryland,OG,76.13,308,9.88,33,NA,5.01,21,26.5,112,NA,7.71,NA,NA
2024,Karsen Barnhart,Michigan,OG,76.5,306,9.88,33.38,NA,5.21,22,29.5,111,4.7,7.83,NA,NA
2024,Tanor Bortolini,Wisconsin,C,76.25,303,10,31.5,NA,4.94,21,32.5,112,4.28,7.16,NA,NA
2024,Millard Bradford,Texas Christian,FS,70.5,191,9,31.25,NA,4.42,15,38.5,124,4.3,7.08,NA,NA
2024,Javion Cohen,Miami (FL),OG,76.38,324,9.88,34,NA,5.34,22,26.5,104,5.06,8.28,NA,NA
2024,Jalen Coker,Holy Cross (MA),WR,73.38,208,9.88,32.88,NA,4.57,12,42.5,128,NA,NA,NA,NA
2024,Brandon Coleman,Texas Christian,OG,76.5,313,10.75,34.63,NA,4.99,24,34,114,4.62,7.4,NA,NA
2024,Ryan Cooper,Oregon State,CB,71.38,186,8.75,30.5,NA,4.67,NA,31,116,4.44,7.18,NA,NA
2024,Frank Crum,Wyoming,OT,80.25,313,10.5,33.88,NA,4.94,22,31.5,114,4.73,7.39,NA,NA
2024,Anim Dankwah,Howard (DC),OT,79.75,349,9.75,35.13,NA,5.44,24,27.5,88,5.21,8.46,NA,NA
2024,Isaiah Davis,South Dakota State,RB,72.25,218,10.25,31.13,NA,4.57,23,34.5,119,4.3,NA,NA,NA
2024,Tyler Davis,Clemson,DT,74,301,9.25,31.38,NA,5.02,29,28.5,108,5,7.74,NA,NA
2024,Johnny Dixon,Penn State,CB,70.75,188,8.63,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Willie Drew,Virginia State,CB,71.63,191,9.5,32,NA,4.46,13,36,115,4.42,6.9,NA,NA
2024,Ethan Driskell,Marshall (WV),OT,80.38,313,10.5,35.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Kingsley Eguakun,Florida,C,75.5,304,10.13,32.5,NA,NA,26,32,109,4.51,7.57,NA,NA
2024,Josiah Ezirim,Eastern Kentucky,OT,77.75,329,10.75,35.75,NA,5.15,28,29.5,113,NA,NA,NA,NA
2024,Olumuyiwa Fashanu,Penn State,OT,78,312,8.5,34,NA,5.11,NA,32,109,NA,NA,NA,NA
2024,Troy Fautanu,Washington,OG,75.75,317,9.5,34.5,NA,5.01,29,32.5,113,NA,NA,NA,NA
2024,Ryan Flournoy,Southeast Missouri State,WR,72.75,202,10.13,31.63,NA,4.44,19,39.5,132,4.37,7.08,NA,NA
2024,Javon Foster,Missouri,OT,77.5,313,9.63,34.63,NA,5.3,18,32.5,106,4.93,7.7,NA,NA
2024,XZauvea Gadlin,Liberty (VA),OG,75.25,322,10.25,33.25,NA,5.5,25,24,96,4.97,8.26,NA,NA
2024,Nick Gargiulo,South Carolina,C,77.38,318,10.38,33.88,NA,5.25,28,32.5,101,4.65,7.33,NA,NA
2024,Frank Gore,Southern Mississippi,RB,67.63,198,8.25,29.63,NA,4.69,12,29,111,NA,NA,NA,NA
2024,Garret Greenfield,South Dakota State,OT,77.75,311,9.75,33.5,NA,5.22,NA,38.5,113,4.85,7.76,NA,NA
2024,Michael Hall,Ohio State,DT,74.75,299,10,33.5,NA,4.75,24,33,111,NA,NA,NA,NA
2024,CJ Hanson,Holy Cross (MA),OG,77,300,9.38,32.38,NA,5,25,33.5,115,4.71,7.9,NA,NA
2024,Myles Harden,South Dakota,FS,70.88,195,9.38,29.88,NA,4.5,13,35.5,118,3.98,6.88,NA,NA
2024,Marcus Harris,Auburn,DT,74.38,304,9.63,32,NA,5.06,27,29.5,103,4.69,7.78,NA,NA
2024,Marvin Harrison,Ohio State,WR,75.25,209,9.5,31.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Christian Haynes,Connecticut,OG,74.75,317,9,33.5,NA,5.03,25,33,102,NA,NA,NA,NA
2024,LaDarius Henderson,Michigan,OG,76.13,309,10.63,35,NA,NA,20,NA,NA,4.72,8.15,NA,NA
2024,TyRon Hopper,Missouri,OLB,73.75,231,8.88,31.38,NA,4.68,NA,36,124,4.46,7.29,NA,NA
2024,Jalyx Hunt,NA,DE,75.75,252,10,34.38,NA,4.64,19,37.5,128,4.38,7.18,NA,NA
2024,Bucky Irving,Oregon,RB,69,192,9.5,29.5,NA,4.55,15,29.5,115,NA,NA,NA,NA
2024,JhaQuan Jackson,Tulane (LA),WR,69.13,188,8.88,30.88,NA,4.42,12,32,118,NA,NA,NA,NA
2024,DJ James,Auburn,CB,71.63,181,8.38,31,NA,4.42,NA,NA,126,4.41,7.28,NA,NA
2024,Jordan Jefferson,Louisiana State,DT,74.75,313,9.88,33.13,NA,5.08,34,31,104,NA,NA,NA,NA
2024,Cedric Johnson,Mississippi,DE,75,260,9.88,33.5,NA,4.63,25,38,122,4.36,7.45,NA,NA
2024,Isaiah Johnson,Syracuse,FS,75,205,8.88,32.88,NA,4.64,12,38.5,129,4.22,6.71,NA,NA
2024,Christian Jones,Texas,OT,77.25,305,10.63,34.5,NA,5.04,20,NA,NA,4.78,8.09,NA,NA
2024,Elijah Jones,Boston College,CB,73.5,185,9.25,31.5,NA,4.44,NA,42.5,131,4.25,7.07,NA,NA
2024,JC Latham,Alabama,OT,77.75,342,11,35.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Dylan Laube,New Hampshire,RB,69.88,206,9.25,29.38,NA,4.54,23,37,118,4.02,6.84,NA,NA
2024,Sataoa Laumea,Utah,OG,76.25,319,9.88,32.88,NA,NA,26,26,104,NA,NA,NA,NA
2024,Logan Lee,Iowa,DT,77.38,281,10.25,32.25,NA,5.05,25,31.5,114,4.37,7.16,NA,NA
2024,Matt Lee,Miami (FL),C,75.63,301,9.25,32.13,NA,5.03,25,31,111,4.69,7.97,NA,NA
2024,KT Leveston,Kansas State,OG,75.88,326,9.88,34.38,NA,5.38,25,27.5,108,4.89,7.9,NA,NA
2024,Beaux Limmer,Arkansas,C,76.63,302,9.5,31.88,NA,5.22,39,36.5,110,4.57,7.47,NA,NA
2024,Mason McCormick,South Dakota State,OG,76.25,309,10,33.88,NA,5.08,32,35.5,117,4.45,7.59,NA,NA
2024,Dylan McMahon,North Carolina State,C,75.38,299,9.38,31.75,NA,5.1,25,33,115,4.33,7.26,NA,NA
2024,Bub Means,Pittsburgh,WR,73,227,10.13,33.25,NA,4.43,19,39.5,122,4.4,NA,NA,NA
2024,Amarius Mims,Georgia,OT,79.75,340,11.25,36.13,NA,5.07,NA,25.5,111,4.33,NA,NA,NA
2024,Myles Murphy,North Carolina,DT,76.13,309,9.75,33.88,NA,5.2,20,28.5,106,4.81,NA,NA,NA
2024,JerZhan Newton,Illinois,DT,73.63,304,9.5,32.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Bo Nix,Oregon,QB,74.13,214,10.13,30.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Hunter Nourzad,Penn State,C,75.13,317,10.75,33.13,NA,NA,27,NA,NA,NA,NA,NA,NA
