"id","year","arm_length","athleticism_score","bio","college_class","draft_grade","draft_projection","grade","hand_size","headshot","height","nfl_comparison","overview","production_score","profile_author","pro_forty_yard_dash","sixty_yard_shuttle","size_score","sources_tell_us","strengths","weaknesses","combine_attendance","position","position_group","weight","person_id","person_display_name","person_esb_id","person_first_name","person_last_name","person_hometown","person_college_names","bench_press_designation","bench_press_repetitions","broad_jump_designation","broad_jump_inches","forty_yard_dash_designation","forty_yard_dash_seconds","ten_yard_split_designation","ten_yard_split_seconds","three_cone_drill_designation","three_cone_drill_seconds","twenty_yard_shuttle_designation","twenty_yard_shuttle_seconds","vertical_jump_designation","vertical_jump_inches","grade_explainer","ngs_explainer"
"c1c44197-cae9-4087-b239-cc4c24c62709",2026,30.875,76.25,NA,"Senior",84.98,NA,6.25,9.25,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2026/32004841-5524-4817-68e4-9c3b33925566",71.625,NA,"Haulcy, aka Mr. Give Me That, is a throwback safety with a compact, densely muscled frame and a pro feel for reading the field. He’s a rare blend of ballhawk and enforcer who can scurry into passing lanes for takeaways or run through a receiver to break up a pass. His pattern recognition and instincts are top-notch and he’s decisive in his reactions. A lack of sustained top-end speed could create mismatches in man coverage. He’s more effective playing forward than he is at guarding large spaces in deeper coverages. He’s rock-steady as a finisher but sees the missed tackle total tick higher as an open-field tackler. Haulcy’s frame and game are pro-ready, though. He projects as a good NFL starter in a zone-heavy scheme.",80.81,"Lance Zierlein",NA,NA,NA,"“His speed concerns me some, but he’s just a really instinctive player all the way around. I know there are differing opinions about him in our building, but I think he’s a Pro Bowler in the right scheme.” - NFL personnel director","
Compact, densely muscled frame.
Built like a pro and plays with the poise/eyes of a pro.
Outstanding instincts and route recognition fuel on-ball production.
Posted 12 pass breakups and eight interceptions over the last two seasons.
Operates with good eye balance and is decisive breaking into passing lanes.
Closes downhill with good balance and body control.
Enforcer in the middle who hits like a bag of concrete.
Toggles speed to maintain pursuit leverage and adjust his path to ball-carriers.
Generally tackles with good form and plenty of stopping power.
","
Below-average recovery speed and burst to close.
Short arms create smaller margins for error as a tackler.
Loses some of his effectiveness when playing downhill.
Will have speed mismatches to contend with in man coverage.
Average change of direction and reactive agility as an open-field tackler.
",TRUE,"SAF","DB",215,"32004841-5524-4817-68e4-9c3b33925566","A.J. Haulcy","HAU244817","Adari","Haulcy","Houston, TX","LSU",NA,NA,NA,NA,"OFFICIAL",4.52,"UNOFFICIAL",1.62,NA,NA,NA,NA,NA,NA,"Average NFL starter. (2nd-3rd)","Good"
"b8c3b166-135a-4bf7-9da3-a4bdaab19fb4",2026,NA,63.93,NA,"R-Junior",73.1,NA,5.68,NA,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005741-4720-7700-6e24-56a001bd7af0",77,NA,"Two-year starter and 2025 team captain with elite personal character but marginal athletic traits. Wagner is smart and makes good use of his length when punching/staying connected to second-level blocks. His lack of foot quickness reduces his range as a run blocker and creates issues getting to his set-points against edge speed in protection. Wagner lacks the body control to adjust comfortably to moving targets, which limits his potential against NFL athleticism. He could be drafted in the late rounds, but I see a relatively low ceiling.",70.55,"Lance Zierlein",NA,NA,NA,NA,"
Generally firm on contact off the snap and into the block.
Lands inside hand strikes with good leverage at point of attack.
Gives good effort to sustain second-level blocks.
Long first stride helps when jump-setting pass rushers off the snap.
Delivers pass punch with well-timed hands to maximize length.
Uses length as a recovery mechanism to help gather rush movement.
","
Lacks desired bend and thickness of frame.
Will struggle when adjusting to movement.
Plays with high pad level and is missing leg drive for displacement.
Too plodding to slide and meet edge speed at the junction point.
Below-average body control and base width for mirroring inside counters.
Lacks agility and footwork needed for NFL recoveries when beaten.
",TRUE,"OT","OL",302,"32005741-4720-7700-6e24-56a001bd7af0","Aamil Wagner","WAG207700","Aamil","Wagner","Yellow Springs, OH","Notre Dame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Likely needs time in developmental league","Avg."
"e7be18a8-d837-4df5-b6a5-2dee078fafc6",2026,29.75,62.89,NA,"R-Junior",72.21,NA,5.99,9.25,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200414e-4403-5767-7c4e-8a7d312f40cd",68,NA,"Anderson is a short but stocky slot receiver with good speed but below-average hands. Injuries and quarterback play slowed his production in 2025, so a heavier dose of 2024 tape is needed for his evaluation. His routes are rhythmic and fairly disciplined, but he fails to create enough separation from his break points. He has the play strength to compete for the contested throws he’s likely to see against tight press man. Anderson has the talent and toughness to stick in the league, but he needs to unlock explosiveness on a more consistent basis to become more than an average backup.",68.73,"Lance Zierlein",NA,NA,NA,NA,"
Properly tempos and times his routes.
Usually maintains vertical separation when he gets it.
Routes show discipline to hide break intentions.
Lift and timing to challenge high-points despite his lack of height.
Shells up when contact is imminent to protect the catch.
Able to shake the first tackler and quickly get up the field.
Had a kick-return touchdown in 2024.
","
Shows a small delay in acceleration from release fakes.
Average change-of-direction quickness in his breaks.
Has speed but is inconsistent to drive and separate versus man.
Catch focus and hand-eye coordination are below average.
Inconsistent in working back and scrambling to help quarterback.
",TRUE,"WR","WR",191,"3200414e-4403-5767-7c4e-8a7d312f40cd","Aaron Anderson","AND035767","Aaron","Anderson","Algiers, LA","LSU",NA,NA,"OFFICIAL",113,NA,NA,NA,NA,NA,NA,NA,NA,"OFFICIAL",30,"Traits or talent to be more than average backup. (4th)","Avg."
"2bd121c7-68be-45ba-beaf-952a794a75b0",2026,32.375,70.51,NA,"Senior",71.93,NA,6.13,9.75,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005241-4e02-2436-cb83-337fc3c232b0",75.375,"Kalen Ballage","Randall, a former wide receiver, is new to his position, but his blend of size, top-end speed and pass-catching ability make him an intriguing prospect. He's an upright long-strider with surprising one-cut quickness and home-run potential. He doesn’t run with pro-level rhythm, recognition or timing, but improvement awaits. He’s willful once he’s downhill, using balance and force to maximize yardage after collisions. His receiving skills create mismatches against man coverage and allow for alignment versatility. Randall is still raw, but RBs with his size, speed and route skill are rare. He offers value as a developmental option with RB2 upside in a zone-heavy scheme.",60.18,"Lance Zierlein",NA,NA,NA,NA,"
Tremendous blend of size and top-end speed.
Improved at following blocks as season progressed.
One-cut runner who can plant and cut sharply on outside-zone carries.
Presses forward through contact for tough yardage and touchdowns.
Former wideout with alignment and route versatility.
Separates from linebackers and catches with soft hands.
Has experience to project as a viable kick returner.
","
Upright runner getting through the line of scrimmage.
Can be clunky with his feet when stacking cuts.
Displays indecisiveness without a clear point of entry.
Struggles to make decisions moving at top speed.
Suffered ACL tear (2022), broken hand (2023) and stress fracture in toe (2024).
Has yet to show improved technique/toughness in blitz protection.
",TRUE,"RB","RB",232,"32005241-4e02-2436-cb83-337fc3c232b0","Adam Randall","RAN022436","Adam","Randall","Myrtle Beach, SC","Clemson",NA,NA,"OFFICIAL",124,"OFFICIAL",4.5,"UNOFFICIAL",1.6,NA,NA,"OFFICIAL",4.53,"OFFICIAL",37,"Good backup with eventual starter potential. (3rd-4th)","Avg."
"62249a72-87e0-4dc8-a795-57d58e2e6028",2026,30.25,68.74,NA,"Senior",77.38,NA,5.91,9.125,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004d4f-5321-2056-8318-24c2a8025c00",69.375,NA,"Moses burst onto the scene with a strong 2024, but his 2025 production was even better. He’s squatty and short-limbed, but he plays with good instincts and quick response times. He’s twitchy to close quickly on catch targets and run fits with fluid change of direction to adjust angles as a tackler. He has adequate range on the back end but taller receivers can play over his head and he lacks the tackle radius for consistent open-field stops when playing deep. Kick coverage boosts his draft value, and sliding into a full-time zone nickelback role could be his best pro fit.",81.18,"Lance Zierlein",NA,NA,NA,NA,"
Posted eight interceptions over the last two seasons.
Twitchy athlete with sudden change of direction.
Plays safety with eye balance and good positioning.
Pounces on quick game and short throws with immediacy.
Quick to diagnose and trigger deep into the run fit.
Good read-and-reaction to runner’s lane choice.
Sticky hands to flip field and his kick-cover talent stands out.
","
Squatty frame lacks desired length for position.
Pass-catchers go up and over him for grabs.
Loses track of positioning from depth near the red zone.
Knocked to the ground by size near the line.
Takes chances pursuing wide and will lose leverage.
Limited tackle radius once the ball-carrier hits the open field.
",TRUE,"SAF","DB",196,"32004d4f-5321-2056-8318-24c2a8025c00","Ahmaad Moses","MOS212056","Ahmaad","Moses","Arlington, TX","SMU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFFICIAL",38,"Average backup or special-teamer. (5th-6th)","Good"
"1d563173-af91-4d61-bc8b-6f54aeb0d015",2026,30.375,61.28,NA,"Senior",69.49,NA,5.69,9.375,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004841-5276-7547-890d-cc03e638c952",71.375,NA,"A slender, fifth-year senior cornerback, Harvey’s lack of size could force him inside to nickelback. He has tight hips and can be too eager to chase route fakes, but he does a nice job of staying phased up with vertical routes. He’s outmuscled inside the route and down the field. From zone, he can identify and close with quickness. He’s irritating to receivers when allowed to play the catch point. Harvey is willing in the run game but takes heavy punishment when throwing his body at runners to make a tackle. Harvey has a chance to be drafted, but making a roster will be challenging.",67.09,"Lance Zierlein",NA,NA,NA,NA,"
Generally in-phase when the route begins.
Plays with good eye balance and healthy suspicion.
Quick transition from diagnose to drive from off coverage.
Urgent to shut down quick game and screen throws.
Good level of willingness and effort as a run defender.
Took just over a month to return from a dislocated ankle.
","
Tight hips slow both vertical and lateral transitions.
Overly responsive to every bend and fake inside the route.
Struggles to gather and match against comebacks.
Lack of size shows up downfield and at the top of the route.
Has trouble ungluing from committed run blockers on the flank.
Uses his head to chop running backs down too often.
",TRUE,"CB","DB",185,"32004841-5276-7547-890d-cc03e638c952","Ahmari Harvey","HAR767547","Ahmari","Harvey","Tallahassee, FL","Georgia Tech","OFFICIAL",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Likely needs time in developmental league","Avg."
"429c1652-9aac-4d72-9d7f-8aa477083409",2026,32,66.44,NA,"Senior",68.4,NA,5.9,9.125,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004855-4216-6199-c13f-44948e6a5401",76.5,NA,"Hubbard is a good athlete with adequate burst, change-of-direction quickness and agility. His game against Oregon was a clear indicator that more size and strength are needed to survive run-defending rigors as a down lineman. A full-time spot as an odd-front edge rusher could be in his wheelhouse, though. He can chase down the action and has a nose for making tackles when he’s close to the ball. His rush features athletic elements, but the toolbox needs filling. With more strength and rush development, Hubbard could develop into an average edge defender.",65.87,"Lance Zierlein",NA,NA,NA,NA,"
Agile with plus short-area change of direction.
Efforts to beat seal blocks to play-side contain positioning.
Slips blockers in tight quarters and crosses their face on slants.
Accelerates and holds his speed in run-game pursuit.
Flashes solid upfield burst as a rusher.
Loose upper half to slip and play off blocks through the turn.
Dips and drives through the tackle’s chest as a bull rusher.
","
Needs more mass and play strength.
Knocked back or widened out by force at the point.
Stiff punch from strong tackles saps his rush.
Needs proactive hands to stay clean and active.
Hasn’t developed a fluid counter for when he hits pocket depth.
",TRUE,"EDGE","DL",260,"32004855-4216-6199-c13f-44948e6a5401","Aidan Hubbard","HUB166199","Aidan","Hubbard","Cleveland, OH","Northwestern","OFFICIAL",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Average backup or special-teamer. (5th-6th)","Avg."
"7bb2ff8f-2283-4dfa-a7b2-04863bd9715b",2026,31.125,68.91,NA,"Senior",76.88,NA,5.69,9.5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2026/32004649-5316-6729-269b-298c61e77c45",72.875,NA,"Fisher is a Mike linebacker who can run the defense as an extension of his coordinator. He’s well-built with leadership and football character that are praised by teammates and coaches. Fisher has the instincts and feel of an NFL player but lacks the needed quickness and athletic ability. He reads play designs and gets to the action at a high rate, but a lack of range, cover talent and plus open-field tackling will make the NFL jump challenging.",78.19,"Lance Zierlein",NA,NA,NA,NA,"
Team leader with mindset emblematic of Indiana football.
Stuffed stat sheet with 300+ tackles over the last three seasons.
Good recognition of play design and blocking scheme.
Frequently beats running back to the gap.
Slips blocks with perfect timing.
Sneaky but strong when setting picks in rush games.
","
Below-average speed and athleticism.
Change of direction in space is labored.
Struggles to leverage wide pursuit due to his speed.
Hips are clunky and feet are heavy in zone drops.
Has trouble stacking and shedding zone blocks.
Lack of short-area agility will lead to missed tackles.
",TRUE,"LB","LB",232,"32004649-5316-6729-269b-298c61e77c45","Aiden Fisher","FIS166729","Aiden","Fisher","Fredericksburg, VA","Indiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Likely needs time in developmental league","Good"
"b1cba18e-58a4-4e5e-a90e-a816b49b3cd0",2026,32.125,67.09,NA,"Senior",80.24,NA,6.41,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004d45-5325-0563-1424-b241e637c932",75,"Jonathan Greenard","Mesidor is an instinctive, high-effort edge rusher with a fluid rush style and a deep toolbox. He bursts upfield and can shrink the corner while punishing oversetting tackles with inside counters. He strings moves together with effortless mid-rush adjustments, utilizing harmonious hands and feet to carve efficient tracks into the pocket. He’s a problem for guards when reduced inside, too. His urgency shows up in run defense, where he uses play strength and short-area quickness to disrupt blocking schemes and stay around the football. He won’t be as long as most edge-setters and his anchor at the point is just average. The talent and motor are obvious, but his age and injury history could push some teams to discount his grade below what the tape shows.",89.61,"Lance Zierlein",NA,NA,NA,NA,"
Blends rabid determination with coaching from Hall of Famer Jason Taylor.
Uses finesse or power depending on approach and opponent.
Appears to gain momentum and speed at the turn.
Effective inside-outside Euro step helps shrink the corner.
Recognizes oversets by tackle and attacks them accordingly.
Constantly countering once he feels momentum wain.
Disciplined in spying quarterback on boot action.
Eager to find the football and make a play in run game.
Pursues wide with adequate speed and smart angles.
Keeps hustle dialed in when chasing plays down the field.
","
Lacks desired height/length as an NFL edge.
Speed-to-power conversion is average by league standards.
Base narrows through engagement, leading to imbalance.
Desire to chase play direction sets him up for counters.
Foot injury limited him to three games in 2023.
Will be a 25-year-old rookie.
",TRUE,"EDGE","DL",259,"32004d45-5325-0563-1424-b241e637c932","Akheem Mesidor","MES250563","Akheem","Mesidor","Ottawa, Ontario","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Will become a good NFL starter within two years. (1st)","Good"
"fd5d8db4-3d30-44a4-a50e-d40d5d2f0073",2026,NA,65.88,NA,"Senior",68.21,NA,5.67,NA,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004845-5263-6184-bfbd-e595d01d5a5b",76,NA,"Herron is a traits-based projection with just two years of FBS experience. He has NFL size and length but the fundamentals and technique are far from finished products. He lacks initial quickness/bend to fit blocks with leverage and generate drive. In pass pro, he must become more active and aggressive with his hands, whether punching or latching into rushers to prevent secondary effort. He figures to show quick improvement if he can receive concentrated coaching. Herron could be drafted late but without more grit and finishing ability, it will be hard to persevere against NFL competition.",57.78,"Lance Zierlein",NA,NA,NA,NA,"
Built big and long with NFL dimensions.
Never missed a start over four seasons.
Protection showed obvious improvement in-season.
Displayed adequate change of direction when mirroring.
Basic technical improvement will improve his run blocking.
Wide frame can cover and slow linebackers on climbs.
","
Lazy punch lacks heat and is too easy to bypass.
Has trouble shoving edge-turners off their path into the pocket.
Below-average slide quickness and anchor.
Plays too high and with a lack of explosion into contact.
Needs to strike with inside hands and run his feet under them.
Missing necessary aggression and grit to finish blocks.
",TRUE,"OT","OL",321,"32004845-5263-6184-bfbd-e595d01d5a5b","Alan Herron","HER636184","Alan","Herron","Westmoreland, Jamaica","Maryland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Likely needs time in developmental league","Avg."
