Draft Class,Name,School,Position,Height,Weight,Hand Size,Arm Length,Wonderlic,40 Yard Dash,Bench Press,Vertical,Broad Jump,Shuttle,3 Cone,60Yd Shuttle
2024,Kris Abrams-Draine,Missouri,CB,71.38,179,8.63,31,,4.44,,33.5,,,,
2024,Terrion Arnold,Alabama,CB,72,189,8.88,31.63,,4.5,,37,129,,,
2024,Jarvis Brownlee,Louisville,CB,70,194,9,31.25,,,,,,,,
2024,Caelen Carson,Wake Forest,CB,72.25,199,8.25,31.38,,,,,,,,
2024,Ryan Cooper,Oregon State,CB,71.25,184,8.75,30.5,,,,,,,,
2024,Cooper DeJean,Iowa,CB,72.63,203,9.63,31.13,,,,,,,,
2024,M.J. Devonshire,Pittsburgh,CB,71.13,186,8.75,32.88,,4.45,,38.5,124,4.35,7.12,
2024,Marcellas Dial,South Carolina,CB,71.75,190,8.88,32,,4.46,,40.5,129,,,
2024,Johnny Dixon,Penn State,CB,71,188,8.63,29.5,,,,,,,,
2024,Willie Drew,Virginia State,CB,71.63,191,9.5,32,,4.46,13,,,,,
2024,Renardo Green,Florida State,CB,71.5,186,9.13,31.25,,4.49,,37.5,130,,,
2024,Kamal Hadden,Tennessee,CB,73.13,196,8.5,30.88,,,,,,,,
2024,Daequan Hardy,Penn State,CB,69,179,8.13,30,,4.38,,42.5,126,,,
2024,Cam Hart,Notre Dame,CB,74.88,202,9.38,33,,4.5,11,39.5,130,4.24,7.12,
2024,Khyree Jackson,Oregon,CB,75.5,194,9.25,32.75,,4.5,,36.5,133,,,
2024,D.J. James,Auburn,CB,71.63,175,8.38,31,,4.42,,,,,,
2024,Carlton Johnson,Frenso State (CA),CB,70.88,173,8,30.38,,,,,,,,
2024,Elijah Jones,Boston College,CB,73.75,185,9.25,31.5,,4.44,,42.5,131,,,
2024,Jarrian Jones,Florida State,CB,72,190,8.63,30,,4.38,,39.5,129,,,
2024,Kalen King,Penn State,CB,71,191,8.75,30.88,,4.61,,37,122,4.16,,
2024,Kamari Lassiter,Georgia,CB,71.63,186,8.88,30.88,,,,,,4.12,6.62,
2024,Dwight McGlothern,Arkansas,CB,73.75,185,8.63,30.5,,4.47,,32,115,,,
2024,Kool-Aid McKinstry,Alabama,CB,71.63,199,8.5,32,,,,,,,,
2024,Max Melton,Rutgers,CB,71,187,9.13,32.13,,4.39,,40.5,136,,,
2024,Quinyon Mitchell,Toledo,CB,72.38,195,9.25,31,,4.33,20,38,120,,,
2024,Josh Newton,Texas Christian,CB,70.75,190,9.25,31.13,,4.51,15,34,124,4.15,7.01,
2024,Andru Phillips,Kentucky,CB,70.5,190,8.75,31.25,,4.48,,42,135,,,
2024,Deantre Prince,Mississippi,CB,72.25,183,8.5,30.75,,4.38,,34.5,125,,,
2024,Nehemiah Pritchett,Auburn,CB,72.13,190,8.38,31.63,,4.36,,34.5,,,,
2024,Ennis Rakestraw,Missouri,CB,71.13,183,8.5,32,,4.51,,,120,,,
2024,Decamerion Richardson,Mississippi State,CB,74.13,188,8.88,32.38,,4.34,,35,128,,,
2024,Christian Roland-Wallace,Southern California,CB,71.63,201,9,32.5,,,17,,,,,
2024,Mike Sainristil,Michigan,CB,69.25,182,8.5,30.88,,4.47,14,40,131,4.01,6.99,
2024,Chau Smith-Wade,Washington State,CB,70,184,9.13,30.25,,4.54,18,34.5,125,4.32,7.05,
2024,Tarheeb Still,Maryland,CB,71.75,189,9.13,29.63,,4.52,,38,120,,,
2024,T.J. Tampa,Iowa State,CB,73,189,9.63,32.5,,,,,,,,
2024,Ro Torrence,Arizona State,CB,74.75,208,8.5,34.13,,,,,,,,
2024,Josh Wallace,Michigan,CB,71.13,185,8.88,31.38,,,13,34.5,120,4.35,,
2024,Nate Wiggins,Clemson,CB,73,173,9,30.5,,4.28,,36,127,,,
2024,Cole Bishop,Utah,FS,73.75,206,9.5,29.75,,4.45,,39,124,,,
2024,Beau Brade,Maryland,FS,71.75,203,10.13,31,,,,,,,,
2024,Millard Bradford,Texas Christian,FS,70.63,191,9,31.25,,4.42,15,38.5,124,,,
