Draft Class,Name,School,Position,Height,Weight,Hand Size,Arm Length,Wonderlic,40 Yard Dash     ,Bench Press,Vertical,Broad Jump,Shuttle,3 Cone,60Yd Shuttle
2010,Rahim Alem,Louisiana State,DE,74.63,251,10.25,33.25,,4.75,18,30.5,106,4.8,7.54,
2010,Tyson Alualu,California,DE,74.38,295,10,33,,4.87,21,35.5,116,4.43,7.15,
2010,Kevin Basped,Nevada,DE,76.5,258,9.75,34.75,,4.75,26,29,104,4.88,7.54,
2010,Alex Carrington,Arkansas State,DE,77.25,285,10.5,33.25,,4.92,26,33,122,4.81,7.64,
2010,Jermaine Cunningham,Florida,DE,75.38,266,10.38,33.75,,4.89,,35,118,,,
2010,Hall Davis,Louisiana-Lafayette,DE,75.75,271,9.88,34.375,,4.84,28,34.5,114,4.63,7.53,
2010,Carlos Dunlap,Florida,DE,77.75,278,10,34.63,,4.68,21,31.5,111,4.61,7.21,
2010,Jeffrey Fitzgerald,Kansas State,DE,75.63,270,,,,4.83,21,35,117,4.36,7.29,
2010,Clifton Geathers,South Carolina,DE,79.5,299,11.13,37.75,,4.98,26,36,112,4.72,7.69,
2010,Everson Griffen,Southern California,DE,75.38,273,10,32.63,,4.65,32,34,115,4.36,7.25,
2010,Greg Hardy,Mississippi,DE,76,281,9.75,34,,4.82,21,35,117,4.65,7.25,
2010,George Johnson,Rutgers,DE,76.38,268,,,,4.79,29,31,113,4.57,6.96,
2010,Jammie Kirlew,Indiana,DE,73.25,260,9.88,32.5,,5.05,26,33,111,4.74,7.5,
2010,Austen Lane,Murray State (KY),DE,77.75,276,10.13,33.375,,4.91,20,34.5,125,4.6,7.38,
2010,Brandon Lang,Troy (AL),DE,75.75,266,8.75,32,,5,20,28.5,104,4.68,7.34,
2010,Erik Lorig,Stanford,DE,75.5,281,10.13,32.5,,,,,,,,
2010,Greg Middleton,Indiana,DE,75,268,10.13,33,,4.96,,38,116,4.69,7.65,
2010,Derrick Morgan,Georgia Tech,DE,75,266,9.75,34.5,,4.77,21,34,112,4.43,7.12,
2010,Jason Pierre-Paul,South Florida,DE,76.75,270,10.38,34.75,,4.71,19,30.5,115,4.67,7.18,
2010,George Selvie,South Florida,DE,76.38,252,9.38,34.5,,4.93,24,30.5,109,4.63,7.48,
2010,Eugene Sims,West Texas A&M,DE,76.63,248,,,,4.69,14,32.5,114,4.38,6.9,
2010,Daniel Te'o-Nesheim,Washington,DE,75.5,263,10.5,33,,4.73,29,37,121,4.18,6.91,
2010,Mitch Unrein,Wyoming,DE,75.63,276,,,,4.89,26,31,105,4.49,7.2,
2010,C.J. Wilson,East Carolina (NC),DE,74.88,290,10,33.125,,4.83,32,33,116,4.77,7.65,
2010,E.J. Wilson,North Carolina,DE,74.5,286,10,32.75,,4.97,23,29.5,113,4.7,7.4,
2010,Lindsey Witten,Connecticut,DE,76.5,250,9,35,,4.7,23,36.5,115,4.62,7.32,
2010,Corey Wootton,Northwestern,DE,78,270,10.25,34.75,,4.92,20,32,108,4.28,7,
2010,Willie Young,North Carolina State,DE,76.75,251,10.25,34.5,,4.88,25,38,118,4.56,7.24,
2011,Pierre Allen,Nebraska,DE,75.5,273,9.875,35,,,,,,,,
2011,Allen Bailey,Miami (FL),DE,75,285,10.25,34,,4.71,27,36.5,117,4.56,7.43,
2011,Brandon Bair,Oregon,DE,77.88,276,10.13,33,,4.92,26,28,114,4.37,7.07,
2011,Christian Ballard,Iowa,DE,75.75,283,9.88,33.13,,4.75,16,31.5,111,4.51,7.54,
2011,DaQuan Bowers,Clemson,DE,75.38,280,10.25,33.13,,4.64,22,34.5,110,4.57,6.98,
2011,Ugo Chinasa,Oklahoma State,DE,76.88,264,10,36,,4.63,22,28,117,4.39,7.07,
2011,Adrian Clayborn,Iowa,DE,74.63,281,9.75,32.5,,4.78,17,33,113,4.13,7.3,
2011,Demarcus Dobbs,Georgia,DE,74.25,281,9.75,34,,4.87,20,31,107,4.37,7.22,
2011,Ricky Elmore,Arizona,DE,76.5,255,9.75,31,,4.88,26,31.5,106,4.32,7.25,
2011,Cameron Heyward,Ohio State,DE,76.63,294,10.13,34.25,,4.92,,30,,,,
2011,Cameron Jordan,California,DE,76.13,287,11.13,35,,4.74,25,31,117,4.37,7.07,
2011,Patrick Kerrigan,Purdue,DE,75.88,267,9.5,33.38,,4.79,31,33.5,122,4.39,7.18,
2011,Karl Klug,Iowa,DE,75,275,9.5,32.25,,4.79,22,29.5,113,4.53,7.03,
2011,Lazarius Levingston,Louisiana State,DE,75.5,292,10.38,33,,5.03,20,29.5,104,4.62,7.29,
2011,Cliff Matthews,South Carolina,DE,75.5,257,9.75,34,,4.81,17,32,112,4.37,7.21,
2011,Pernell McPhee,Mississippi State,DE,74.63,278,9,34.38,,4.91,20,28.5,107,4.59,7.13,
2011,Gabe Miller,Oregon State,DE,75.25,250,,,,4.62,33,36,114,4.12,6.97,
2011,Cheta Ozougwu,Rice (TX),DE,73.63,247,9.38,31,,4.84,26,34.5,119,4.31,7.06,
2011,Robert Quinn,North Carolina,DE,76,265,10.13,34,,4.62,22,34,116,4.4,7.13,
2011,D'Aundre Reed,Arizona,DE,75.88,261,10.25,33.5,,4.84,30,35.5,119,4.32,7.24,
2011,Greg Romeus,Pittsburgh,DE,76.88,264,10.875,35,,,24,,,,,
2011,Jabaal Sheard,Pittsburgh,DE,74.88,264,10,33.5,,4.68,,31,115,4.65,7.34,
2011,Aldon Smith,Missouri,DE,76.25,263,9.75,35.38,,4.74,20,34,118,4.5,7.19,
2011,Justin Watt,Wisconsin,DE,77.38,290,11.13,34,,4.91,34,37,120,4.21,6.88,
2011,Markus White,Florida State,DE,75.5,266,10,33.38,,4.86,14,32.5,117,4.51,7.25,
2011,Ryan Winterswyk,Boise State,DE,76.13,268,9.75,32.75,,4.96,18,30,111,4.37,7.01,
2012,Frank Alexander,Oklahoma,DE,75.75,270,9.75,35,,4.82,24,34.5,117,4.59,7.48,
2012,Jake Bequette,Arkansas,DE,76.63,274,9.25,32,,4.75,,34,113,4.07,6.9,
2012,Jamie Blatnick,Oklahoma State,DE,75.13,263,10.25,31.5,,4.81,28,32.5,112,4.2,7.22,
2012,Andre Branch,Clemson,DE,76.25,259,9,34,,4.67,19,32.5,120,4.25,7.19,
2012,Kourtnei Brown,Clemson,DE,76.5,256,,,,4.69,26,31,116,4.47,7.44,
