Draft Class,Name,School,Position,Height,Weight,Hand Size,Arm Length,Wonderlic,40 Yard Dash,Bench Press,Vertical,Broad Jump,Shuttle,3 Cone,60Yd Shuttle
2023,Malaesala Aumavae-Laulu,Oregon,OT,77.5,317,10.5,34.5,,5.23,18,28.5,106,4.75,7.65,
2023,Matthew Bergeron,Syracuse,OT,77.25,318,9.5,33.75,,,,30.5,103,4.66,7.38,
2023,Earl Bostick,Kansas,OT,77.75,309,9.5,34.13,,5.05,,31,111,,,
2023,McClendon Curtis,Tennessee-Chattanooga,OT,77.88,324,10.25,35,,5.24,25,26.5,105,4.97,7.7,
2023,Jaelyn Duncan,Maryland,OT,77.63,306,9.38,33,,5.1,,31.5,113,,,
2023,Blake Freeland,Brigham Young,OT,79.88,302,10,33.88,,4.98,25,37,120,4.71,7.46,
2023,Connor Galvin,Baylor,OT,78.63,299,9,32.38,,5.48,29,30.5,104,4.92,8,
2023,Richard Gouraige,Florida,OT,77,306,10,34,,,23,,,,,
2023,Ryan Hayes,Michigan,OT,78.38,305,10,32.5,,5.18,,30,103,4.68,7.39,
2023,Paris Johnson,Ohio State,OT,78.38,313,9.5,36.13,,,29,,110,,,
2023,Broderick Jones,Georgia,OT,77.38,313,10.63,34.75,,4.97,,30,108,,,
2023,Dawand Jones,Ohio State,OT,80.25,374,11.63,36.38,,5.35,,,,,,
2023,Jaxson Kirkland,Washington,OT,78.88,321,10.5,33.5,,,19,,,,,
2023,Wanya Morris,Oklahoma,OT,77.38,307,10.25,35.13,,5.1,,28.5,111,,,
2023,John Ojukwu,Boise State,OT,77.75,309,10.75,34,,5.24,26,28.5,104,4.52,7.52,
2023,Nick Saldiveri,Old Dominion (VA),OT,78.25,318,10.25,33.25,,5.21,24,31,111,4.69,,
2023,Tyler Steen,Alabama,OT,78,321,10.5,32.75,,,31,29.5,109,4.59,7.78,
2023,Dalton Wagner,Arkansas,OT,80,320,10.5,34.38,,,24,24.5,102,,,
2023,Carter Warren,Pittsburgh,OT,77.5,311,9.13,35.38,,,,,,,,
2023,Darnell Wright,Tennessee,OT,77.38,333,9,33.75,,5.01,,29,114,4.72,,
2022,Logan Bruss,Wisconsin,OT,77,308,11,33.13,,5.32,,31,112,4.55,7.57,
2022,Charles Cross,Mississippi State,OT,76.75,307,10.75,34.5,,4.95,,26,112,4.61,7.88,
2022,Myron Cunningham,Arkansas,OT,77.63,322,10.5,34.5,,5.38,26,20,98,5.16,8.5,
2022,Austin Deculus,Louisiana State,OT,77,321,9.25,34.38,,5.08,,28.5,109,4.99,,
2022,Kellen Diesch,Arizona State,OT,79.13,301,9.5,32.25,,4.89,,32.5,110,4.43,7.77,
2022,Ikem Ekwonu,North Carolina State,OT,76,310,10.25,34,,4.93,,29,108,4.73,7.82,
2022,Obinna Eze,Texas Christian,OT,78.5,321,9.88,36.13,,5.17,18,27.5,104,5.08,8.2,
2022,Daniel Faalele,Minnesota,OT,80,384,11,35.13,,,24,,,,,
2022,Braxton Jones,Southern Utah,OT,77.25,310,10.25,35.38,,4.97,,25.5,108,4.84,,
2022,Vederian Lowe,Illinois,OT,76.63,310,10.38,35.38,,5.22,22,25.5,99,4.71,7.83,
2022,Abraham Lucas,Washington State,OT,78.38,315,10.5,33.88,,4.92,24,27,107,4.4,7.25,
2022,Cade Mays,Tennessee,OT,76.75,311,10,34.13,,5.24,,26,102,4.71,7.57,
2022,Marcus McKethan,North Carolina,OT,78.5,340,10.5,35.5,,5.31,27,27.5,110,4.99,7.81,
2022,Max Mitchell,Louisiana-Lafayette,OT,78.25,307,10,33.5,,5.32,,25,106,4.65,8.09,
2022,Thayer Munford,Ohio State,OT,77.75,328,10.13,35.13,,5.39,,22,104,,,
2022,Evan Neal,Alabama,OT,79.5,337,10.13,34,,,,,,,,
2022,Trevor Penning,Northern Iowa,OT,79.13,325,10.13,34.25,,4.89,,28,111,4.62,7.25,
2022,Nicholas Petit-Frere,Ohio State,OT,77.13,316,10.75,33.63,,5.14,,24.5,103,,,
2022,Bernhard Raimann,Central Michigan,OT,78.13,303,10.25,32.88,,5.05,30,30.5,117,4.49,7.46,
2022,Dare Rosenthal,Kentucky,OT,78.75,290,9,33.5,,4.88,,,,,,
2022,Tyler Smith,Tulsa (OK),OT,76.88,327,10.63,34.25,,5.02,25,27.5,105,4.65,7.78,
2022,Andrew Stueber,Michigan,OT,78.63,325,10,34.13,,,,24.5,101,4.9,7.94,
2022,Luke Tenuta,Virginia Tech,OT,80,319,10.13,32.88,,5.41,,26,104,4.77,,
2022,Zachary Thomas,San Diego State,OT,76.88,308,10.25,33.88,,4.96,21,22.5,107,4.65,7.4,
2022,Matt Waletzko,North Dakota,OT,79.63,312,10.25,36.13,,5.03,,30,113,,,
2022,Rasheed Walker,Penn State,OT,77.63,313,10.63,33.63,,,,,,,,
2021,Calvin Ashley,Florida A&M,OT,78.13,314,10.125,34.25,,5.55,15,29,105,5,8.46,
2021,Josh Ball,Marshall (WV),OT,79.38,308,10,35,,5.2,28,27.5,106,4.7,7.77,
2021,Spencer Brown,Northern Iowa,OT,80.25,311,10.375,34.75,,4.94,29,31.5,117,4.4,6.96,
2021,Larnel Coleman,Massachusetts,OT,78.25,307,10.375,36.25,,5.17,24,31,113,4.69,7.69,
2021,Samuel Cosmi,Texas,OT,77.88,314,10.25,33,,4.87,36,30,117,4.39,7.35,
2021,Coy Cronk,Iowa,OT,76.63,305,,,,,,,113,,,
2021,Jake Curhan,California,OT,77.88,316,10.25,33,,5.45,15,24,102,4.84,8.07,
2021,Tommy Doyle,Miami (OH),OT,80,320,10.375,35.125,,5.12,24,33.5,111,4.57,7.42,
2021,Liam Eichenberg,Notre Dame,OT,78.13,306,9.625,32.375,,,33,26.5,105,4.57,7.53,
2021,Stone Forsythe,Florida,OT,80,307,10,34.375,,5.13,25,27.5,103,4.63,7.47,
2021,Will Fries,Penn State,OT,78.38,309,10.25,32.875,,5.38,24,31,115,4.51,7.75,
2021,Carson Green,Texas A&M,OT,78.13,320,10.375,34.5,,5.33,23,29.5,108,4.75,7.08,
2021,Devery Hamilton,Duke,OT,78.63,311,10.125,33,,5.27,21,33.5,112,4.89,7.81,
2021,Chandon Herring,Brigham Young,OT,78.75,307,9.25,33.75,,5.05,26,29,113,4.69,7.65,
2021,Alaric Jackson,Iowa,OT,77.5,321,9.5,32.5,,5.4,20,25,103,4.92,7.69,
