position,Name,school,Draft Class,Height,Weight,Arm Length,Hand Size,Wingspan,40 Yard Dash,10 Yard Split,Vertical,Broad Jump,20 Yard Shuttle,3 Cone,Cmp,Att,Cmp%,Yds,Y/A,AY/A,TD,Int,Pass Rate,Rush Att,Rush Yds,Rush Avg,Rush TD,YP,GP,tttidy,nfl_epa_per_play
QB,Devin Leary,Kentucky,2024,73,215,30.875,9.5,,,,,,,,777,1315,59.1,9553,7.3,7.6,87,28,137.7,178,-81,-0.5,6,5,43,,
QB,Michael Penix,Washington,2024,74,216,33.675,10.5,,,,,,,,1067,1685,63.3,13741,8.2,8.4,96,34,146.6,134,265,2,13,6,49,2.58,
QB,Spencer Rattler,South Carolina,2024,72,211,31,9.875,,4.95,1.63,32,108,4.37,,900,1313,68.5,10807,8.2,8.2,77,32,152.2,297,410,1.4,16,5,38,2.81,
QB,JJ McCarthy,Michigan,2024,74.5,219,31.675,9,,,,,,4.23,6.82,482,713,67.6,6226,8.7,9.4,49,11,160.5,161,632,3.9,10,3,40,2.95,
QB,Joe Milton III,Tennessee,2024,77,235,33.375,10.25,,,,35,121,,,400,650,61.5,5353`,8.2,8.6,37,11,146.1,174,661,3.8,12,6,43,2.95,
QB,Caleb Williams,USC,2024,73,214,32,9.75,,,,,,,,735,1099,66.9,10082,9.2,10.3,93,14,169.3,289,966,3.3,27,3,37,3.24,
QB,Sam Hartman,Notre Dame,2024,73,211,31.375,9.75,,4.8,1.63,28.5,109,4.34,7.19,1135,1898,59.8,15656,8.2,8.5,134,49,147.2,461,978,2.1,20,6,60,2.99,
QB,Austin Reed,Western Kentucky,2024,73.5,220,30.125,9.875,,4.82,1.67,,,,,678,1073,63.2,8086,7.5,7.9,71,22,144.2,133,324,2.4,12,2,26,,
QB,Taulia Tagovailoa,Maryland,2024,71,208,,,,,,,,,,964,1436,67.1,11356,7.9,7.8,77,37,146.1,262,205,0.8,13,5,46,,
QB,Kedon Slovis,BYU,2024,74.5,223,31.125,9.875,,4.55,1.58,30,118,,,989,1534,64.5,11689,7.6,7.5,80,39,140.6,148,-259,-1.8,3,5,46,,
QB,Michael Pratt,Tulsa,2024,74.5,217,30.75,9.25,,,,36,114,4.23,7.2,730,1204,60.6,9611,8,8.5,90,26,148,447,1147,2.6,28,4,46,2.72,
QB,Drake Maye,North Carolina,2024,76,223,32.25,9.125,,,,,,,,618,952,64.9,8018,8.4,9,63,16,154.1,302,1209,4,16,3,30,2.88,
QB,Bo Nix,Oregon,2024,74,214,31.875,10.125,,,,,,,,1286,1936,66.4,15352,7.9,8.5,113,26,149.6,405,1613,4,38,5,61,2.62,
QB,Jordan Travis,Florida State,2024,73,200,31.375,9,,,,,,,,637,1027,62,8715,8.5,8.9,66,20,150.6,417,1950,4.7,31,6,49,2.84,
QB,Jayden Daniels,LSU,2024,76,210,,,,,,,,,,953,1438,66.3,12750,8.9,9.5,89,20,158.4,617,3307,5.4,34,5,55,2.94,
QB,Aidan O'Connell,Purdue,2023,75,213,32.25,9.75,76.25,,,,,,,826,1239,66.7,9219,7.4,7.4,65,30,141.6,95,-274,-2.9,2,4,33,2.5,-0.038
QB,Jake Haener,Fresno State,2023,72,207,29.75,9.375,73,,,35,114,,7.01,740,1085,68.2,9120,8.4,8.9,68,18,156.2,175,-109,-0.6,8,4,32,2.67,
QB,Tanner McKee,Stanford,2023,78,231,32.875,9.375,79.125,,,33,114,4.41,7.22,473,748,63.2,5336,7.1,7,28,15,131.5,135,-86,-0.6,6,3,23,2.51,
QB,C.J. Stroud,Ohio State,2023,75,214,32.625,10,77.375,,,,,,,575,830,69.3,8123,9.8,11.2,85,12,182.4,80,136,1.7,1,3,27,2.92,0.124
QB,Bryce Young,Alabama,2023,70,204,30.5,9.75,73.5,,,,,,,624,949,65.8,8356,8.8,9.9,80,12,165,139,162,1.2,7,3,36,3.02,-0.178
