Draft Class,Name,School,Position,Height,Weight,Hand Size,Arm Length,Wonderlic,40 Yard Dash,Bench Press,Vertical,Broad Jump,Shuttle,3 Cone,60Yd Shuttle
2010,Nate Byham,Pittsburgh,TE,75.88,268,10,33.5,,4.97,18,29,109,4.45,7.05,
2010,Dorin Dickerson,Pittsburgh,TE,73.38,226,9.75,34,,4.4,24,43.5,125,4.3,6.96,
2010,Ed Dickson,Oregon,TE,76.25,249,9.75,33,,4.59,23,34,115,4.59,7.32,
2010,Jim Dray,Stanford,TE,76.75,246,10.13,33,,4.82,17,34,113,4.38,7.14,
2010,Brody Eldridge,Oklahoma,TE,76.75,261,9.63,32.5,,4.72,20,31.5,112,4.44,7.27,
2010,Dedrick Epps,Miami (FL),TE,75.38,246,9.88,33.13,,4.72,19,33,110,4.42,7.31,
2010,Garrett Graham,Wisconsin,TE,75.13,243,9.5,32,,4.71,20,34.5,112,4.35,7.09,
2010,Jimmy Graham,Miami (FL),TE,78.25,260,10.63,35,,4.53,15,38.5,120,4.45,6.9,11.76
2010,Jermaine Gresham,Oklahoma,TE,77.25,261,9.63,34.75,,4.66,20,35,113,4.53,7.07,11.88
2010,Rob Gronkowski,Arizona,TE,78.25,258,10.75,34.25,,4.68,23,33.5,119,4.47,7.18,
2010,Aaron Hernandez,Florida,TE,74.38,245,9.75,32.25,,4.64,30,33,111,4.18,6.83,
2010,Michael Hoomanawanui,Illinois,TE,75.63,264,10.13,33,,4.77,25,32.5,110,4.52,7.67,
2010,Jameson Konz,Kent State (OH),TE,75.5,234,,,,4.41,,46,128,4.25,6.93,
2010,Jeron Mastrud,Kansas State,TE,77.38,256,9.25,33.5,,,13,32.5,106,4.59,7.42,
2010,Anthony McCoy,Southern California,TE,76.5,259,10.38,34,,4.71,19,35.5,113,4.57,6.99,
2010,Tony Moeaki,Iowa,TE,75,245,10.13,33.25,,4.69,18,34,113,4.42,7.1,11.86
2010,Fendi Onobun,Houston,TE,77.5,252,,,,4.45,16,37.5,133,4.15,6.85,
2010,Colin Peek,Alabama,TE,77.25,252,9.63,34,,4.92,19,34.5,112,4.39,7.23,
2010,Dennis Pitta,Brigham Young,TE,76.5,245,10,32.25,,4.68,27,34,113,4.17,6.72,11.53
2010,Andrew Quarless,Penn State,TE,76.38,254,10.25,34,,4.68,23,32,112,4.57,7.29,
2010,Mickey Shuler,Penn State,TE,76.13,251,,,,4.63,28,37.5,131,4.25,6.77,
2011,Jordan Cameron,Southern California,TE,77.25,254,9.75,33.5,,4.53,23,37.5,119,4.03,6.82,11.56
2011,Collin Franklin,Iowa State,TE,77.63,256,,,,4.69,28,34.5,124,4.29,7.44,
2011,Charlie Gantt,Michigan State,TE,76,252,9.5,32.63,,4.85,27,30.5,112,4.4,7.15,12.12
2011,Richard Gordon,Miami (FL),TE,75.5,265,,,,4.66,25,32.5,109,4.46,7.3,
2011,Cameron Graham,Louisville,TE,75.13,244,9.63,31.5,,5,18,31,105,4.51,7.19,12.5
2011,Virgil Green,Nevada,TE,75.38,249,9.25,33.5,,4.54,23,42.5,130,4.4,6.9,11.63
2011,Daniel Hardy,Idaho,TE,75.75,249,10,31.75,,4.77,18,30.5,106,4.35,7.19,
2011,Rob Housler,Florida Atlantic,TE,77.38,248,9.75,34.5,,4.46,22,37,117,4.21,6.9,11.69
2011,Lance Kendricks,Wisconsin,TE,74.88,243,9.63,32,,4.65,25,34.5,122,4.15,6.94,11.9
2011,Schuylar Oordt,Northern Iowa,TE,77.75,261,9.88,33.75,,4.63,18,36,119,4.25,6.83,11.9
2011,Zack Pianalto,North Carolina,TE,75.25,256,9.63,33,,4.78,22,32,108,4.41,6.85,11.81
2011,Allen Reisner,Iowa,TE,74.25,248,10.5,33.25,,4.9,14,28,108,4.59,7.31,12.12
2011,Kyle Rudolph,Notre Dame,TE,78.13,259,10.75,34,,4.83,19,34.5,113,4.37,7.24,
2011,Weslye Saunders,South Carolina,TE,77.13,270,10.5,35.63,,4.82,19,33.5,116,4.56,7.48,
2011,Andre Smith,Virginia Tech,TE,76.38,270,,,,4.78,22,33.5,119,4.3,7.13,
2011,Lee Smith,Marshall (WV),TE,77.75,266,9.75,34.38,,4.94,25,29,108,4.28,7.16,12
2011,Luke Stocker,Tennessee,TE,76.75,258,9.75,33,,4.68,27,33,115,4.4,7.03,11.95
2011,Ryan Taylor,North Carolina,TE,75.5,254,,,,4.76,21,34,118,4.47,7.09,
2011,Julius Thomas,Portland State (OR),TE,76.63,246,10.25,33,,4.64,16,35.5,111,4.31,6.96,11.95
2011,D.J. Williams,Arkansas,TE,74.13,245,10.38,31.5,,4.59,20,33.5,111,4.51,7.29,12.2
2012,Dwayne Allen,Clemson,TE,75.13,255,9.63,33,,4.85,27,32,110,4.37,7.12,12.07
2012,Derek Carrier,Beloit,TE,75.38,238,,,,4.5,15,38,122,4.08,6.65,
2012,Garrett Celek,Michigan State,TE,76.38,250,,,,4.72,19,34,119,4.49,7.12,
2012,Orson Charles,Georgia,TE,74.5,251,9.25,32.5,,4.83,35,30.5,113,4.37,,
2012,Michael Egnew,Missouri,TE,77.13,252,9.75,33,,4.52,21,36,131,4.32,7.03,12.07
2012,Rhett Ellison,Southern California,TE,76.88,251,10.25,32.75,,4.78,,31.5,109,4.39,7.16,
2012,Coby Fleener,Stanford,TE,78,247,10,33.38,,4.52,27,37,116,4.3,7.02,
2012,Chase Ford,Miami (FL),TE,78.63,255,,,,4.78,20,33,110,4.35,7.34,
2012,Ladarius Green,Louisiana-Lafayette,TE,77.75,238,10.13,34.5,,4.45,16,34.5,124,4.47,7.12,12.08
2012,James Hanna,Oklahoma,TE,75.75,252,9.88,33.13,,4.43,24,36,122,4.11,6.76,11.43
2012,Cory Harkey,UCLA,TE,76,260,9.38,32,,5.06,13,26.5,109,4.69,7.4,12.75
2012,David Paulson,Oregon,TE,75.25,246,10.13,32.75,,4.79,21,32,110,4.4,7.18,11.9
2012,DeAngelo Peterson,Louisiana State,TE,75,243,9.5,32.5,,4.69,18,36,121,4.58,7.19,
2012,Nick Provo,Syracuse,TE,75.25,237,9.5,31.75,,4.78,,32,110,4.43,6.97,
2012,Beau Reliford,Florida State,TE,77.13,256,9,33.38,,4.84,,,,,,
2012,Adrien Robinson,Cincinnati,TE,76,264,,,,4.56,15,39.5,135,4.43,7.1,
2012,Taylor Thompson,Southern Methodist (TX),TE,77.88,259,,,,4.55,22,37,126,4.38,7.43,
2012,Matt Veldman,North Dakota State,TE,79,256,,,,4.72,17,35.5,119,4.47,6.99,
2013,Justice Cunningham,South Carolina,TE,74.63,258,10.08,33.78,,4.94,17,31.5,116,4.45,7.12,11.88
2013,Tyler Eifert,Notre Dame,TE,77.5,250,9.18,33.18,23,4.68,22,35.5,119,4.32,6.92,11.52
2013,Zach Ertz,Stanford,TE,77,249,9.68,31.68,26,4.76,24,30.5,111,4.47,7.08,11.92
2013,Gavin Escobar,San Diego State,TE,77.88,254,9.68,33.58,28,4.84,12,32,114,4.31,7.07,11.86
2013,Joseph Fauria,UCLA,TE,79.38,259,10.78,33.68,,4.82,17,35.5,120,4.53,7.49,
2013,Matt Furstenburg,Maryland,TE,75.63,242,8.58,31.68,,4.62,18,35.5,115,4.35,7.09,11.76
2013,Chris Gragg,Arkansas,TE,74.75,244,9.08,33.58,,4.5,18,37.5,125,4.51,7.08,
2013,MarQueis Gray,Minnesota,TE,75.25,240,9.78,34,,4.73,15,30,111,4.3,7.25,
2013,Ryan Griffin,Connecticut,TE,78.13,261,9.88,33.25,,4.87,21,34.5,113,4.43,7.01,
2013,D.C. Jefferson,Rutgers,TE,77.75,255,10.13,34.25,,4.97,3,32.5,119,4.62,7.33,
2013,Nick Kasa,Colorado,TE,77.88,269,9.18,32.78,,4.71,22,31.5,113,4.45,7.18,
2013,Travis Kelce,Cincinnati,TE,76.88,257,9.63,33.75,22,4.63,,35,124,4.42,7.09,
2013,Philip Lutzenkirchen,Auburn,TE,75.25,258,10.28,33.28,,4.94,21,30.5,112,4.35,7.15,
2013,Vance McDonald,Rice (TX),TE,76.13,267,10.18,34.38,30,4.69,31,33.5,119,4.53,7.08,11.73
2013,Ryan Otten,San Jose State,TE,77.25,230,9.63,33.375,,4.69,17,33,112,4.62,7.5,
2013,Chris Pantale,Boston College,TE,77.13,254,10.28,33.28,,4.99,17,33.5,110,4.5,7.48,12.22
2013,Jordan Reed,Florida,TE,74.5,236,10.08,33.08,,4.72,16,,,,,
2013,Mychal Rivera,Tennessee,TE,75.25,242,10.28,32.58,,4.81,17,31,112,4.43,7.17,
2013,Dion Sims,Michigan State,TE,76.88,262,10.48,33.18,,4.75,22,35,112,4.52,7.36,12.1
2013,Jake Stoneburner,Ohio State,TE,75.38,252,9.38,32.28,,4.65,18,34.5,116,4.27,7.12,11.5
2013,Zach Sudfeld,Nevada,TE,78.75,253,9.75,33.5,,4.78,11,37,113,4.41,7.08,
2013,Levine Toilolo,Stanford,TE,80.13,260,10.28,34.48,,4.86,17,31,113,4.57,7.09,11.97
2013,Michael Williams,Alabama,TE,77.75,278,10.13,32.75,,5.19,11,25.5,96,4.9,8.15,
2013,Luke Willson,Rice (TX),TE,77.38,251,9.5,32.625,,4.51,23,38,122,4.29,7.08,
2014,Jace Amaro,Texas Tech,TE,77.38,265,9,34,,4.74,28,33,116,4.3,7.42,12.26
2014,Blake Annen,Cincinnati,TE,76.13,247,9.88,33,,4.41,25,34,120,4.3,7.19,
2014,Rob Blanchflower,Massachusetts,TE,76.13,256,9.63,33.75,,,,,,,,
2014,Ted Bolser,Indiana,TE,77.63,248,8.38,31.875,,4.71,19,31,111,4.5,7.15,
2014,Anthony Denham,Utah,TE,76.5,235,10.5,33.38,,4.77,14,32.5,113,4.56,7.38,
2014,Joe Don Duncan,Dixie State (UT),TE,74.63,268,10.5,32.375,,4.79,35,,,,,
2014,Eric Ebron,North Carolina,TE,76.38,250,10,33.25,16,4.6,24,32,120,4.45,7.49,
2014,C.J. Fiedorowicz,Iowa,TE,77.5,265,10.25,33,,4.76,25,31.5,115,4.26,7.1,
2014,Crockett Gillmore,Colorado State,TE,77.88,260,10.38,33.75,,4.89,18,33.5,120,4.44,7.42,
2014,Xavier Grimble,Southern California,TE,76.25,257,10.25,33.63,,4.76,16,26.1,112,4.79,7.41,
2014,Nic Jacobs,McNeese State (LA),TE,76.75,269,10,34.13,,4.89,15,35,117,4.72,7.4,
2014,Marcel Jensen,Frenso State (CA),TE,77.75,259,9.88,34.88,,4.85,24,35,114,4.6,7.38,
2014,A.C. Leonard,Tennessee State,TE,74.38,252,9.25,33,,4.5,20,34,127,4.39,7.14,
2014,Colt Lyerla,Oregon,TE,75.88,242,10.25,32.75,24,4.61,15,39,127,,,
2014,Arthur Lynch,Georgia,TE,76.63,258,10.13,32.5,,4.82,28,29.5,115,4.35,7.38,
2014,Jake Murphy,Utah,TE,76,249,10,31.75,,4.79,24,33,113,4.27,7.18,
2014,Jordan Najvar,Baylor,TE,77.88,256,10,32.25,,4.93,18,32.5,111,4.47,7.14,12.02
2014,Troy Niklas,Notre Dame,TE,78.5,270,10,34.13,,4.84,27,32,113,4.55,7.57,12.19
2014,Jacob Pedersen,Wisconsin,TE,75.5,238,9,31.75,,4.89,,28.5,111,4.4,7.55,
2014,Richard Rodgers,California,TE,76,257,10.13,32.63,,4.87,16,31.5,115,4.47,7.23,
2014,Austin Seferian-Jenkins,Washington,TE,77.5,262,9.75,33.75,,4.75,20,,,,,
2014,D.J. Tialavea,Utah State,TE,75.5,267,9.25,33.625,,4.95,22,32.5,109,4.62,7.46,
2015,Rory Anderson,South Carolina,TE,76.63,244,8.75,32.25,,4.73,,,,,,
2015,Kennard Backman,Alabama-Birmingham,TE,75.25,239,9.38,33.375,,4.76,17,35.5,117,4.49,7.23,
2015,Blake Bell,Oklahoma,TE,78.25,252,10,33.13,,4.8,14,33,116,4.32,6.85,11.81
2015,E.J. Bibbs,Iowa State,TE,74,258,10.25,31.13,,4.76,20,31.5,110,4.52,7.22,
2015,Nick Boyle,Delaware,TE,76.5,268,10.38,33.38,,5.04,20,30.5,112,4.23,7.13,11.65
2015,Clay Burton,Florida,TE,75.75,248,9.5,31.5,,4.76,24,30,111,4.56,7.44,
2015,Gerald Christian,Louisville,TE,75,244,10.75,32.5,,4.87,28,,,4.7,7.62,12.66
2015,A.J. Derby,Arkansas,TE,75.75,255,9.5,30.5,,4.73,15,,,4.51,6.99,
2015,Travis Dickson,Louisiana State,TE,75,237,,,,4.74,,,,,,
2015,Ray Hamilton,Iowa,TE,76,252,9.75,32.375,,4.78,14,30,101,4.7,7.56,
2015,Connor Hamlett,Oregon State,TE,79.5,265,10.13,33.375,,4.82,,,,,,
2015,Kevin Haplea,Florida State,TE,75.25,247,10.5,33.25,,4.86,24,30,113,4.63,7.38,
2015,Jeff Heuerman,Ohio State,TE,77.13,254,10.13,33.25,,4.8,26,34.5,120,,,
2015,Gabe Holmes,Purdue,TE,77,256,10.13,33,,4.78,21,33.5,112,4.3,7.31,
2015,Jesse James,Penn State,TE,79,261,9.38,33,,4.83,26,37.5,121,4.5,7.53,12.15
2015,Ben Koyack,Notre Dame,TE,76.88,255,10.75,32.63,,4.77,16,30,116,4.52,7.32,
2015,Tyler Kroft,Rutgers,TE,77.5,246,9.63,33,32,4.69,17,34,120,4.5,7.18,
2015,Khari Lee,Bowie State (MD),TE,76.25,267,9.5,33.125,,4.85,18,36,115,4.45,7.62,
2015,Matt Lengel,Eastern Kentucky,TE,79.88,265,10.13,33.75,,4.79,26,32,117,4.33,7.26,
2015,Devin Mahina,Brigham Young,TE,77.63,256,10.13,34,,4.83,23,29.5,117,4.45,7.12,
2015,Mike McFarland,South Florida,TE,78.5,260,10.5,35.25,,4.82,18,35,116,4.4,7.15,
2015,Nick O'Leary,Florida State,TE,75.25,252,9.38,29.75,,4.93,21,30.5,110,4.5,7.4,12.4
2015,James OShaughnessy,Illinois State,TE,76.25,245,9.75,32.125,,4.69,16,35,116,4.38,7.2,
2015,Brian Parker,Albany (NY),TE,76.5,265,10.13,33.5,,4.72,25,38.5,119,4.4,7.03,
2015,Casey Pierce,Kent State (OH),TE,75.25,244,9.38,31.375,,4.78,19,36.5,118,4.22,6.97,
2015,MyCole Pruitt,Southern Illinois,TE,74.25,251,10.25,33.5,,4.58,17,38,118,4.37,7.25,11.85
2015,Tyreese Russell,Eastern Michigan,TE,75,238,,,,4.77,,,,,,
2015,Wes Saxton,South Alabama,TE,75.38,248,9.63,32,,4.65,19,36,119,4.49,7.29,12.52
2015,Faysal Shafaat,Tennessee-Chattanooga,TE,75.63,243,10,32.375,,4.78,22,31.5,113,4.48,7.12,
2015,Jean Sifrin,Massachusetts,TE,77.25,245,11,33.38,,4.84,15,33,114,4.6,7.5,12.25
2015,Geoff Swaim,Texas,TE,76.38,252,9.25,33.625,,4.71,,35.5,124,4.58,7.28,
2015,Randall Telfer,Southern California,TE,75.75,250,9.63,33.5,,4.77,20,,,,,
2015,Eric Tomlinson,Texas-El Paso,TE,77.63,263,10,32.88,,4.98,19,30.5,110,4.54,7.46,12.41
2015,Westlee Tonga,Utah,TE,75.63,240,10,31.75,,4.84,26,32.5,118,4.43,7.2,
2015,Will Tye,Stony Brook (NY),TE,74.13,260,9.13,33,,4.78,,31.5,112,4.65,7.21,
2015,C.J. Uzomah,Auburn,TE,77.75,262,9.75,34.75,,4.64,19,31,118,4.57,7.22,
2015,Brian Vogler,Alabama,TE,78.63,263,10,34.125,,5.02,17,29.5,114,4.62,7.72,
2015,Clive Walford,Miami (FL),TE,76,251,10.25,34,,4.79,20,35,120,4.57,7.32,
2015,Maxx Williams,Minnesota,TE,75.88,249,10.38,33.5,29,4.78,17,34.5,117,4.37,7.3,12.31
2016,Jerell Adams,South Carolina,TE,77.13,247,9.75,34.38,,4.64,18,32.5,117,4.31,7.05,11.52
2016,Stephen Anderson,California,TE,74.13,230,9.25,32,,4.64,16,38,119,4.13,6.95,
2016,Ben Braunecker,Harvard,TE,75.38,250,9.5,32.75,,4.73,20,35.5,121,4.2,6.9,11.32
2016,Thomas Duarte,UCLA,TE,74.13,231,10,33,,4.72,12,33.5,118,4.24,6.97,
2016,Rico Gathers,Baylor,TE,78.25,273,,,,4.79,,,115,4.56,,
2016,Dillon Gordon,Louisiana State,TE,75.75,308,,,,,,,,,,
2016,David Grinnage,North Carolina State,TE,77.25,248,10.13,34.5,,4.9,7,29.5,106,4.74,7.56,
2016,Temarrick Hemingway,South Carolina State,TE,76.88,244,10,34,,4.71,18,30.5,115,4.31,6.88,
2016,Hunter Henry,Arkansas,TE,76.88,250,9.25,32.75,,4.68,13,31.5,113,4.41,7.16,
2016,Tyler Higbee,Western Kentucky,TE,77.75,249,10.25,33.25,,,,,,,,
2016,J.P. Holtz,Pittsburgh,TE,75,238,9.88,33.5,,4.79,20,33,112,4.33,6.92,
2016,Austin Hooper,Stanford,TE,75.75,254,10.63,33.75,,4.72,19,33,117,4.32,7,11.93
2016,Darrion Hutcherson,Mississippi State,TE,78.88,266,9.75,34,,4.9,16,29,101,4.95,7.79,
2016,Henry Krieger Coble,Iowa,TE,75.25,249,9.75,32,,4.91,,33.5,110,4.48,7.16,
2016,Ryan Malleck,Virginia Tech,TE,76.5,247,9.38,32.5,,4.81,18,34.5,121,4.33,7,
2016,Jake McGee,Florida,TE,77.5,250,9.63,32.38,,4.84,17,28.5,114,4.63,7.26,
2016,David Morgan,Texas-San Antonio,TE,76.13,262,10.5,33.63,,5.02,29,30,115,4.19,6.93,11.6
2016,Sean Price,South Florida,TE,74.5,245,10.75,33,,5.02,,30,115,4.99,7.58,
2016,Beau Sandland,Montana State,TE,76.5,253,10.13,34.25,,4.74,23,35,124,4.33,7.1,11.75
2016,Nick Vannett,Ohio State,TE,78,257,10,34.25,,4.89,17,30.5,111,4.2,7.05,11.5
2016,Bryce Williams,East Carolina (NC),TE,77.75,257,9.63,33.63,,4.94,19,29.5,111,4.53,7.19,12.03
2017,Antony Auclair,Laval,TE,77.38,254,10.88,34.25,,4.9,22,33.5,117,4.45,7.3,12.08
2017,Pharaoh Brown,Oregon,TE,77.63,255,10.38,35.63,,4.83,24,34,103,4.62,7.24,
2017,Jake Butt,Michigan,TE,77.13,246,10,32,32,,,,,,,
2017,Cethan Carter,Nebraska,TE,74.75,241,9,32.38,,4.68,19,,,4.47,,
2017,Jason Croom,Tennessee,TE,76.25,252,9.63,33.375,,4.69,23,34,120,4.4,7.33,
2017,Sean Culkin,Missouri,TE,77.13,255,9.5,32.875,,4.71,21,35.5,120,4.46,7.2,
2017,Darrell Daniels,Washington,TE,75.13,247,10.25,34.5,,4.55,17,32,116,4.47,7.09,
2017,Standish Dobard,Miami (FL),TE,75.38,254,9.75,33.5,,4.73,24,30.5,114,4.68,7.78,
2017,Evan Engram,Mississippi,TE,75.13,234,10,33.5,26,4.42,19,36,125,4.23,6.92,
2017,Gerald Everett,South Alabama,TE,74.75,239,8.5,33,24,4.62,22,37.5,126,4.33,6.99,11.57
2017,Billy Freeman,San Jose State,TE,74.63,236,9.25,30.5,,4.74,22,30.5,112,4.62,7.18,
2017,Derrick Griffin,Texas Southern,TE,78.25,248,8.88,33.75,,,11,31,119,4.49,,
2017,Cole Hikutini,Louisville,TE,76.13,247,10,32.75,,4.85,20,34.5,120,4.34,7.22,
2017,Bucky Hodges,Virginia Tech,TE,78.13,257,10.13,32.5,,4.57,18,39,134,4.45,,11.46
