Draft Class,Name,School,Position,Height,Weight,Hand Size,Arm Length,Wonderlic,40 Yard Dash,Bench Press,Vertical,Broad Jump,Shuttle,3 Cone,60Yd Shuttle,Rec,Yds,Avg,TD,YP,Games Played
2024,Javon Baker,Central Florida,WR,73.38,202,9.63,32.25,,4.54,,37,121,,,,117,2051,17.5,13,4,46
2024,Jermaine Burton,Alabama,WR,72.25,196,9.88,31,,4.45,,38.5,133,,,,132,2376,18,23,4,50
2024,Jalen Coker,Holy Cross (MA),WR,73.25,208,9.88,32.5,,4.57,,42.5,128,,,,164,2715,16.6,31,4,39
2024,Keon Coleman,Florida State,WR,74.63,213,9,32,,4.61,,38,127,,,,115,1506,13.1,19,3,34
2024,Malachi Corley,Western Kentucky,WR,70.63,215,9.13,32.13,,,,,,,,,259,3035,11.7,29,4,49
2024,Jacob Cowing,Arizona,WR,68.38,168,9,29.25,,4.38,,36,119,4.32,7.02,,316,4477,14.2,33,5,58
2024,Ryan Flournoy,Southeast Missouri State,WR,73.13,202,10.13,31.63,,4.44,19,39.5,132,,,,118,1823,15.4,13,2,22
2024,Troy Franklin,Oregon,WR,74.25,176,8.75,31.88,,4.41,,39,124,4.31,6.9,,160,2483,45.5,25,3,40
2024,Anthony Gould,Oregon State,WR,68,174,8.88,29.63,,4.39,,39.5,129,4.16,,,84,1360,16.2,6,4,38
2024,Lideatrick Griffin,Mississippi State,WR,69.88,181,9.13,30.63,,4.43,,35.5,124,4.35,7,,126,1490,11.8,9,4,44
2024,Marvin Harrison,Ohio State,WR,75.25,209,9.5,31.88,,,,,,,,,155,2613,16.9,31,3,38
2024,JhaQuan Jackson,Tulane (LA),WR,69,188,8.88,30.88,,4.42,12,32,118,,,,109,1743,16,17,5,56
2024,Cornelius Johnson,Michigan,WR,75.13,212,8.63,31.88,,4.44,,37.5,127,,,,138,2038,14.8,14,5,61
2024,Xavier Legette,South Carolina,WR,73,221,9,31.88,,4.39,,40,126,,,,113,1678,14.8,12,5,53
2024,Luke McCaffrey,Rice (TX),WR,73.75,198,9.63,30.13,,4.46,,36,121,4.02,6.7,,131,1732,13.2,19,5,44
2024,Ladd McConkey,Georgia,WR,71.5,186,8.63,30.25,,4.39,13,36,124,,,,119,1687,14.2,14,3,39
2024,Jalen McMillan,Washington,WR,72.63,197,10,32.13,,4.47,,37,127,4.18,6.94,,164,2143,13.1,17,4,38
2024,Bub Means,Pittsburgh,WR,72.75,212,10.13,33.25,,4.43,19,39.5,122,,,,90,1552,17.2,10,3,36
2024,Adonai Mitchell,Texas,WR,74.13,205,9,32.38,,4.34,,39.5,136,,,,93,1405,15.1,18,3,35
2024,Malik Nabers,Louisiana State,WR,71.75,200,,,,,,,,,,,189,3003,15.9,21,3,38
2024,Rome Odunze,Washington,WR,74.75,212,9.25,32.25,,4.45,,39,124,4.03,6.88,,214,3272,15.3,24,4,40
2024,Ricky Pearsall,Florida,WR,72.88,189,9.25,30.88,,4.41,17,42,129,4.05,6.64,,159,2420,15.2,14,5,55
2024,JaLynn Polk,Washington,WR,73,203,9.75,31.75,,4.52,,37.5,129,,,,143,2231,16.6,18,4,41
2024,Brenden Rice,Southern California,WR,74.13,208,9.63,33,,4.5,13,36.5,119,,,,111,1821,16.4,21,4,43
2024,Tayvion Robinson,Kentucky,WR,70.63,191,9.25,31,,,,,,,,,194,2604,13.4,16,5,60
2024,Marcus Rosemy-Jacksaint,Georgia,WR,73,195,10,33,,,,35,119,,,,74,1028,13.9,7,4,47
2024,Ainias Smith,Texas A&M,WR,69.25,190,8.5,29,,,21,,,,,,180,2407,13.4,19,5,50
2024,Brian Thomas,Louisiana State,WR,75.25,209,9.75,32.75,,4.33,11,38.5,126,,,,127,1897,14.9,24,3,38
2024,Jamari Thrash,Louisville,WR,71.75,188,8.63,31,,4.46,,34,120,,7.16,,167,2610,15.6,18,5,49
2024,Devaughn Vele,Utah,WR,76.25,203,9.75,33.5,,4.47,,36,126,,,,123,1689,13.7,9,5,44
