athlete_id,pos_gp,Name,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wingspan
4689114,QB,Jaxson Dart,73.825,226,9.5,30.25,72.75
4427238,QB,Dillon Gabriel,70.5,202,9,30,71.75
4606194,QB,Seth Henigan,75.125,213,8.875,32.25,77
4683423,QB,Riley Leonard,75.375,210,9.25,32.375,77.125
4432734,QB,Jalen Milroe,73.5,220,8.75,31.25,74.75
4360689,QB,Tyler Shough,76.875,224,9.75,31,76.125
4911851,RB,LeQuint Allen,72.25,207,10.25,32.5,76.75
4431536,RB,Donovan Edwards,71,215,10,30.25,73.875
4685350,RB,Trevor Etienne,68.5,202,9.675,29.25,69.5
4711533,RB,Ollie Gordon,73.125,233,9.25,32.75,80
4568490,RB,RJ Harvey,67.75,207,8.675,30.125,70.675
4710341,RB,Jarquez Hunter,69.125,212,9.375,30.25,72.5
4429059,RB,Woody Marks,70,215,9.125,29.5,71.875
4808830,RB,Damien Martinez,71.125,226,8.5,32,77.675
4682652,RB,Devin Neal,70.75,220,8.375,30,71.125
4596602,RB,Brashard Smith,69.25,195,8.75,30.75,73.25
4882093,RB,Bhayshul Tuten,68.75,211,8.75,30.25,70.25
4694302,RB,Marcus Yarns,70.375,189,9,31.25,75.675
4603186,WR,Jack Bech,73.25,212,8.875,31.375,75
4600981,WR,Pat Bryant,74.125,208,9.375,31.125,77.75
4431268,WR,Chimere Dike,72.375,192,9,32.675,77
4575348,WR,Da'Quan Felton,76.375,223,9.5,33.25,78.675
4565185,WR,Tai Felton,72.675,186,8.875,30.375,72.75
4877706,WR,Jayden Higgins,75.75,217,9.5,33.25,79.375
4608810,WR,Tez Johnson,69.25,156,8.5,29.875,73
4602667,WR,Jaylin Lane,69.125,191,9.75,32,76.25
4426337,WR,Bru McCoy,74,215,10,33.25,77.675
4586312,WR,Jaylin Noel,69.75,196,8.5,30.125,72.5
4892576,WR,Jamaal Pritchett,68.5,170,9.25,29.75,70.375
4431353,WR,Xavier Restrepo,69.375,200,9.125,29.75,71.125
5082630,WR,Jalen Royals,71.375,210,9.25,31,73.375
4429105,WR,Arian Smith,71.75,175,9,31.675,76.25
5123663,WR,Isaac Teslaa,74.875,212,9.75,31.75,76.375
4613202,WR,Kyle Williams,70.25,182,8.75,30.675,72.25
4879478,OL,Jacob Bayer,74.875,315,10.375,32.875,78.125
4429693,OL,Aireontae Ersery,77.75,339,9.375,34,81.125
4873706,OL,Anthony Belton,77.375,345,10.25,34.675,73.125
,OL,Logan Brown,78,312,9.875,34.75,73.5
4685326,OL,Josh Conerly Jr.,76.125,313,10.375,34,81
4431252,OL,Garrett Dellinger,76.25,325,10,32.875,79.125
4789907,OL,Armand Membou,75.75,332,9.675,33.125,81
4608890,OL,Miles Frazier,77.75,324,9,33.375,80.375
4685736,OL,Emery Jones,76.75,312,10.75,34.75,73.675
4582836,OL,Willie Lampkin,70.375,270,10.375,32,78.125
4686362,OL,Marcus Mbow,76.125,309,10.375,33,80.125
4431463,OL,Wyatt Milum,78.375,315,10.25,32.675,79.675
4430481,OL,Jonah Monheim,76.125,307,9.25,30.675,77
4433889,OL,Caleb Rogers,76.5,313,9.75,32.75,78.75
4819257,OL,Jonah Savaiinaea,75.75,339,10.25,34.675,81.75
4876319,OL,Jackson Slater,74.675,320,9.75,33,78
4432595,OL,Ozzy Trapilo,79.675,321,10.25,33.5,81.25
4892240,OL,Jalen Travis,79.675,341,10.25,34.5,73.5
4769895,OL,Carson Vinson,78.875,314,10.125,35.125,73.75
4426336,OL,Clay Webb,75,310,9.875,32.675,79
4693346,OL,Grey Zabel,77.375,316,9.375,32.25,77.675
4678006,TE,Elijah Arroyo,76.5,251,9.675,33.125,81.125
4708049,TE,Gavin Bartholomew,76.375,241,10,31.75,78
